time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/clip_fraction,train/explained_variance,train/clip_range,train/n_updates,train/loss,rollout/ep_rew_mean,rollout/ep_len_mean
67584,33,70,962,-5.383699417114258,0.0035590902,-0.004822524060728028,0.0002483616,0.16595815308392048,0.0906982421875,0.7932251691818237,0.15,128,0.008384756743907928,24.209302325581394,715.046511627907
69632,34,72,962,-5.409599274396896,0.005994925,-0.005468472809297964,0.0002483104,0.17256125574931502,0.079833984375,0.8296791315078735,0.15,132,0.02796744927763939,24.168539325842698,710.9101123595506
71680,35,74,962,-5.425986096262932,0.0056309206,-0.008581478308769874,0.00024825920000000004,0.20966552244499326,0.092529296875,0.7694957852363586,0.15,136,0.01904408633708954,24.440860215053764,709.5268817204301
73728,36,76,962,-5.411947324872017,0.0056409272,-0.009966029116185382,0.00024820800000000003,0.1503248184453696,0.1500244140625,0.8672305941581726,0.15,140,-0.015305176377296448,24.663265306122447,709.969387755102
75776,37,78,963,-5.383708015084267,0.0057702768,-0.00830997369484976,0.00024815680000000003,0.15994511591270566,0.0999755859375,0.8690646886825562,0.15,144,-0.0043227411806583405,24.57,705.0
77824,38,80,962,-5.371421590447426,0.0053974134,-0.006777602626243606,0.0002481056,0.17853479273617268,0.1285400390625,0.8208639025688171,0.15,148,0.03493468463420868,24.89,706.79
79872,39,82,963,-5.3808135241270065,0.00433603,-0.006699102450511418,0.0002480544,0.1464642472565174,0.0557861328125,0.8370434045791626,0.15,152,0.0027463138103485107,24.89,706.79
81920,40,85,962,-5.398801475763321,0.0047584884,-0.006222542782779783,0.0002480032,0.1350714904256165,0.0848388671875,0.8553237318992615,0.15,156,-0.007592901587486267,25.24,705.45
83968,41,87,962,-5.383295029401779,0.0047663357,-0.007918928255094215,0.000247952,0.13746719458140433,0.09912109375,0.8882416486740112,0.15,160,-0.019478604197502136,25.39,704.63
86016,42,89,962,-5.381105899810791,0.0053079873,-0.00527069580857642,0.0002479008,0.1442457337398082,0.1092529296875,0.8942198753356934,0.15,164,-0.008378103375434875,25.91,695.06
88064,43,91,962,-5.345318794250488,0.0043959124,-0.00414573319721967,0.0002478496,0.1789590111002326,0.1102294921875,0.8982807993888855,0.15,168,0.027599360793828964,26.08,690.65
90112,44,93,963,-5.304305002093315,0.0069195246,-0.00828402501065284,0.0002477984,0.18612342281267047,0.1622314453125,0.8592954874038696,0.15,172,0.04659081995487213,26.07,687.58
92160,45,95,963,-5.2886775732040405,0.005870566,-0.008897946143406443,0.0002477472,0.18301357328891754,0.1732177734375,0.8812990188598633,0.15,176,0.024136923253536224,26.07,685.4
94208,46,97,963,-5.3003615736961365,0.006831292,-0.007375928282272071,0.000247696,0.1318109284620732,0.1220703125,0.8970397710800171,0.15,180,-0.012391287833452225,26.09,670.92
96256,47,99,963,-5.289413005113602,0.0065954514,-0.006447612875490449,0.0002476448,0.16187603445723653,0.1268310546875,0.9048805236816406,0.15,184,0.004662789404392242,25.97,664.75
98304,48,102,963,-5.293627619743347,0.0052066646,-0.006067131907911971,0.0002475936,0.19895550142973661,0.120849609375,0.8736898899078369,0.15,188,0.018949024379253387,26.18,660.43
