time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/n_updates,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/loss,train/approx_kl,train/entropy_loss,train/clip_fraction,rollout/ep_len_mean,rollout/ep_rew_mean
2048,606,3,1,,,,,,,,,,,,
4096,618,6,2,4,1.0715099344961345,-0.06659305095672607,-0.0024748651339905336,0.15,0.0002498976,0.034058235585689545,0.0037881718,-5.543317586183548,0.021484375,,
6144,633,9,3,8,0.19005561340600252,-4.494190216064453e-05,-0.001866212289314717,0.15,0.0002497952,0.025074586272239685,0.004999689,-5.538258984684944,0.05029296875,,
8192,640,12,4,12,0.2041341378353536,-1.8477439880371094e-05,-0.0014478199882432818,0.15,0.0002496928,0.055546145886182785,0.0045009516,-5.5368718057870865,0.030029296875,,
10240,641,15,5,16,0.24649316491559148,0.0006737709045410156,-0.0028205861017340794,0.15,0.0002495904,0.04353579878807068,0.004651218,-5.531635910272598,0.0355224609375,589.8571428571429,9.822939428571429
12288,638,19,6,20,0.2523546149022877,0.08919733762741089,-0.0022619537339778617,0.15,0.00024948799999999997,0.04432034492492676,0.004676716,-5.527470231056213,0.05810546875,643.9166666666666,11.253170500000001
14336,636,22,7,24,0.20933460677042603,0.23405003547668457,-0.0014828215644229203,0.15,0.0002493856,0.0350089892745018,0.0037845639,-5.529914498329163,0.0244140625,656.4615384615385,11.627295461538463
16384,639,25,8,28,0.19345469493418932,0.349420964717865,-0.0023348602408077568,0.15,0.0002492832,0.01117713749408722,0.0024150808,-5.5295412093400955,0.0081787109375,716.0,13.372606375
18432,637,28,9,32,0.2166670672595501,0.4841312766075134,-0.005126376679982059,0.15,0.0002491808,0.019615277647972107,0.0038954988,-5.5297152400016785,0.03759765625,716.0,13.372606375
20480,632,32,10,36,0.16214736457914114,0.5784849524497986,-0.003666840464575216,0.15,0.0002490784,-0.001526709645986557,0.0043350435,-5.511879190802574,0.032958984375,716.0,13.372606375
22528,628,35,11,40,0.1916429589036852,0.6051150560379028,-0.005044264529715292,0.15,0.000248976,0.010478384792804718,0.0042815125,-5.522523567080498,0.060302734375,713.0555555555555,13.671970777777778
24576,625,39,12,44,0.13071441184729338,0.6171109080314636,-0.006432885929825716,0.15,0.00024887360000000003,-0.02451184391975403,0.0041860444,-5.5170735120773315,0.0430908203125,751.7307692307693,15.113351807692311
26624,622,42,13,48,0.15584138734266162,0.7236695289611816,-0.006196164191351272,0.15,0.0002487712,-0.020726099610328674,0.004227965,-5.523255497217178,0.0736083984375,767.6428571428571,15.830798071428575
28672,623,46,14,52,0.19556450750678778,0.6851993203163147,-0.007249657224747352,0.15,0.0002486688,-0.0002057105302810669,0.0040649595,-5.518151715397835,0.069580078125,767.5,15.97164516666667
