time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/value_loss,train/clip_fraction,train/entropy_loss,train/approx_kl,train/loss,train/policy_gradient_loss,rollout/ep_len_mean,rollout/ep_rew_mean,train/explained_variance,train/n_updates,train/learning_rate,train/clip_range
2048,3,1,632,,,,,,,,,,,,
4096,5,2,728,0.3209355752915144,0.0076904296875,-5.543507874011993,0.002431901,0.00036745890974998474,-0.001505639957031235,166.0,2.0,0.0036361217498779297,4,0.0002499488,0.15
6144,7,3,789,0.20861024828627706,0.0274658203125,-5.539706572890282,0.0042415606,0.020116209983825684,-0.002177779177145567,250.0,7.333333333333333,0.006764113903045654,8,0.0002498976,0.15
8192,9,4,821,0.16332844365388155,0.01611328125,-5.537917152047157,0.0035093105,0.0027430281043052673,-0.001976465995539911,321.0,7.25,0.13502711057662964,12,0.0002498464,0.15
10240,12,5,834,0.16369697940535843,0.04296875,-5.532000705599785,0.0036396636,0.011299092322587967,-0.004099915793631226,409.3333333333333,10.733333333333333,0.2616081237792969,16,0.0002497952,0.15
12288,14,6,846,0.2105659218505025,0.0318603515625,-5.531383454799652,0.0035315817,0.019787967205047607,-0.002124709659256041,451.7894736842105,11.842105263157896,0.3428887128829956,20,0.000249744,0.15
14336,16,7,853,0.16380261653102934,0.042236328125,-5.523134306073189,0.005467158,-0.0009252950549125671,-0.0033284056989941746,451.4782608695652,12.217391304347826,0.5528014898300171,24,0.0002496928,0.15
16384,18,8,863,0.18631250830367208,0.1370849609375,-5.500277951359749,0.008090105,0.015330184251070023,-0.007783577806549147,465.24,12.76,0.49906522035598755,28,0.0002496416,0.15
18432,21,9,864,0.2138982410542667,0.0760498046875,-5.487254902720451,0.0049991705,0.03881478309631348,-0.004297851744922809,453.77777777777777,12.37037037037037,0.6034592390060425,32,0.0002495904,0.15
20480,23,10,864,0.13008338259533048,0.0816650390625,-5.491345629096031,0.0039681396,-0.01422412320971489,-0.005890992266358808,459.38235294117646,12.441176470588236,0.6782634854316711,36,0.00024953919999999997,0.15
22528,25,11,867,0.1690264919307083,0.0714111328125,-5.495933681726456,0.003508558,0.014033518731594086,-0.004818128130864352,461.75,12.527777777777779,0.6891285181045532,40,0.00024948799999999997,0.15
24576,28,12,866,0.14468527399003506,0.0579833984375,-5.50495345890522,0.0035960162,0.005227833986282349,-0.0039323947130469605,487.5581395348837,13.581395348837209,0.6381351947784424,44,0.0002494368,0.15
26624,30,13,869,0.1596947785001248,0.02783203125,-5.504222393035889,0.0032163197,-0.004456710070371628,-0.0018151218682760373,471.80434782608694,12.978260869565217,0.6645876169204712,48,0.0002493856,0.15
28672,32,14,872,0.14245772338472307,0.0540771484375,-5.501943275332451,0.0036066235,0.004766508936882019,-0.003954738960601389,466.3265306122449,12.775510204081632,0.7006508708000183,52,0.0002493344,0.15
30720,35,15,874,0.13316586939617991,0.0496826171875,-5.509544670581818,0.0040594144,-0.018241554498672485,-0.0022165707196108997,480.5192307692308,13.442307692307692,0.7752565145492554,56,0.0002492832,0.15
32768,37,16,876,0.18724454985931516,0.0545654296875,-5.495007336139679,0.004204586,0.01133853942155838,-0.0032846291724126786,474.2068965517241,13.293103448275861,0.7024694681167603,60,0.000249232,0.15
