time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/explained_variance,train/clip_range,train/approx_kl,train/loss,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/entropy_loss,train/n_updates,train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean
930,2048,2,1,,,,,,,,,,,,
930,4096,4,2,-0.040889739990234375,0.15,0.0038298157,-0.00011124461889266968,0.0002499488,0.05712890625,-0.004791627390659414,-5.542214244604111,4,0.4616334664169699,,
959,6144,6,3,0.06333565711975098,0.15,0.0028851242,0.03779975324869156,0.0002498976,0.0101318359375,-0.001457676145946607,-5.54110960662365,8,0.2038289657793939,,
970,8192,8,4,0.19783639907836914,0.15,0.00446535,-0.005499359220266342,0.0002498464,0.0526123046875,-0.0036984696780564263,-5.534359395503998,12,0.12389955995604396,12.620152,492.6666666666667
974,10240,10,5,0.3097494840621948,0.15,0.0029151593,0.016614839434623718,0.0002497952,0.04541015625,-0.003458061721175909,-5.527240812778473,16,0.1882735942490399,15.387745999999998,545.7142857142857
973,12288,12,6,0.416546106338501,0.15,0.004697227,0.026509951800107956,0.000249744,0.0457763671875,-0.004027946124551818,-5.52374941110611,20,0.1640546212438494,16.88319007692308,616.1538461538462
969,14336,14,7,0.5372085571289062,0.15,0.004609719,-0.007875319570302963,0.0002496928,0.0477294921875,-0.0030470488127321005,-5.523022428154945,24,0.15446732798591256,17.409295874999998,651.6875
970,16384,16,8,0.593219518661499,0.15,0.0037652245,0.009244326502084732,0.0002496416,0.105224609375,-0.005393906438257545,-5.513944000005722,28,0.15912032988853753,17.409295874999998,651.6875
964,18432,19,9,0.3776954412460327,0.15,0.002798908,0.01931857317686081,0.0002495904,0.047607421875,-0.0034210079757031053,-5.507985830307007,32,0.18824637681245804,17.409295874999998,651.6875
960,20480,21,10,0.6126023530960083,0.15,0.00490881,-0.010891474783420563,0.00024953919999999997,0.0809326171875,-0.00452060138923116,-5.493110150098801,36,0.14798218966461718,17.599927049999998,653.75
956,22528,23,11,0.6683553457260132,0.15,0.0047260327,-0.0005646012723445892,0.00024948799999999997,0.093505859375,-0.005228355075814761,-5.475038021802902,40,0.13184062927030027,17.99980361904762,661.952380952381
954,24576,25,12,0.535236120223999,0.15,0.0034969875,-0.010599471628665924,0.0002494368,0.0716552734375,-0.004903394161374308,-5.4590917229652405,44,0.12565167900174856,19.024764640000004,690.68
952,26624,27,13,0.5301704406738281,0.15,0.0049433038,0.007101498544216156,0.0002493856,0.128662109375,-0.005529269328690134,-5.4295448660850525,48,0.17466114507988095,20.361830633333337,729.5666666666667
