time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/learning_rate,train/value_loss,train/clip_range,train/entropy_loss,train/approx_kl,train/explained_variance,train/n_updates,train/clip_fraction,rollout/ep_len_mean,train/loss,rollout/ep_rew_mean,train/policy_gradient_loss
3,2048,639,1,,,,,,,,,,,,
5,4096,730,2,0.0002499488,0.19107048981823027,0.15,-5.542074546217918,0.0036285878,0.05780637264251709,4,0.0616455078125,209.5,-0.012574035674333572,5.160266,-0.006344483699649572
7,6144,785,3,0.0002498976,0.11830275924876332,0.15,-5.541790887713432,0.0036804504,0.08487004041671753,8,0.01806640625,209.5,-0.017900340259075165,5.160266,-0.0024291856680065393
9,8192,823,4,0.0002498464,0.19842336745932698,0.15,-5.53863337635994,0.0032363813,0.2326166033744812,12,0.0150146484375,314.57142857142856,0.008018001914024353,6.879823428571428,-0.002115982031682506
12,10240,846,5,0.0002497952,0.17343008914031088,0.15,-5.535560131072998,0.0036271624,0.4004758596420288,16,0.0377197265625,395.8,-0.011614877730607986,9.379557000000002,-0.003328054241137579
14,12288,866,6,0.000249744,0.1243899220135063,0.15,-5.527701422572136,0.0049958145,0.5329989194869995,20,0.0679931640625,456.7142857142857,-0.021765608340501785,11.216129285714286,-0.005164431808225345
16,14336,875,7,0.0002496928,0.17208729474805295,0.15,-5.5284498780965805,0.002943725,0.5809600949287415,24,0.01318359375,487.4736842105263,0.015245415270328522,12.321685842105262,-0.0014660855376860127
18,16384,883,8,0.0002496416,0.14800194092094898,0.15,-5.512145951390266,0.003751326,0.6070959568023682,28,0.05712890625,519.0434782608696,0.003575354814529419,13.644379652173914,-0.0033473526273155585
20,18432,894,9,0.0002495904,0.16180322016589344,0.15,-5.515212535858154,0.005355387,0.6615301966667175,32,0.060302734375,525.48,0.00678098201751709,13.625674359999998,-0.00486829383589793
22,20480,900,10,0.00024953919999999997,0.176319190999493,0.15,-5.516109049320221,0.0031388397,0.6799381375312805,36,0.0614013671875,506.9642857142857,-0.007304307073354721,13.161205357142856,-0.004833453975152224
24,22528,905,11,0.00024948799999999997,0.1858915681950748,0.15,-5.528242826461792,0.0040772827,0.6030410528182983,40,0.0902099609375,494.375,0.013074718415737152,12.668035593750002,-0.005020851720473729
27,24576,908,12,0.0002494368,0.15565100754611194,0.15,-5.528806298971176,0.0028772461,0.6834696531295776,44,0.0360107421875,519.2,-0.014435943216085434,13.919779000000002,-0.003816189127974212
29,26624,912,13,0.0002493856,0.18170406250283122,0.15,-5.529870510101318,0.003696874,0.6179495453834534,48,0.0418701171875,525.075,0.019213445484638214,14.242783825,-0.0033957497507799417
31,28672,912,14,0.0002493344,0.16027978085912764,0.15,-5.522861987352371,0.0029173954,0.6915520429611206,52,0.05224609375,547.7333333333333,-0.010723650455474854,14.927824511111114,-0.0036635047144955024
33,30720,912,15,0.0002492832,0.1815312106627971,0.15,-5.5234449952840805,0.0025481582,0.750834047794342,56,0.06005859375,543.8571428571429,0.00348522886633873,14.90379424489796,-0.002981160127092153
35,32768,915,16,0.000249232,0.15468059037812054,0.15,-5.514590531587601,0.004498298,0.7414724826812744,60,0.09423828125,540.8235294117648,-0.005290500819683075,14.821793627450983,-0.007299603952560574
37,34816,917,17,0.0002491808,0.11812565801665187,0.15,-5.50762565433979,0.0058837766,0.7323610782623291,64,0.1668701171875,542.3214285714286,-0.03755699843168259,14.89738275,-0.00816381728509441
40,36864,916,18,0.0002491296,0.1326253896113485,0.15,-5.51429408788681,0.003639103,0.7869752645492554,68,0.0673828125,533.2666666666667,-0.023542068898677826,14.504975966666668,-0.006592864214326255
42,38912,915,19,0.0002490784,0.14997302135452628,0.15,-5.49487067759037,0.004073199,0.7586647272109985,72,0.072998046875,528.4098360655738,-0.0052712298929691315,14.328017344262296,-0.004720229408121668
44,40960,916,20,0.0002490272,0.19099322240799665,0.15,-5.49556577205658,0.0052148057,0.6483286619186401,76,0.121826171875,537.8923076923077,0.012764595448970795,14.995084046153847,-0.007419993475195952
46,43008,917,21,0.000248976,0.21914175292477012,0.15,-5.487019509077072,0.00505173,0.7054327130317688,80,0.0953369140625,538.5942028985507,0.06490658968687057,15.068490652173915,-0.005942083153058775
49,45056,917,22,0.00024892480000000003,0.18822054332122207,0.15,-5.490761324763298,0.005478512,0.7031655311584473,84,0.0819091796875,543.1369863013699,0.01385083794593811,15.361111890410958,-0.005429794924566522
51,47104,919,23,0.00024887360000000003,0.1801573527045548,0.15,-5.474101573228836,0.0052284836,0.7345404624938965,88,0.074462890625,548.4473684210526,-0.0036319345235824585,15.68248139473684,-0.00414066226221621
53,49152,921,24,0.0002488224,0.16279813856817782,0.15,-5.479838892817497,0.0035120915,0.7955886125564575,92,0.0433349609375,543.7439024390244,0.020932398736476898,15.665306914634144,-0.003222231665858999
55,51200,921,25,0.0002487712,0.19154390296898782,0.15,-5.457054331898689,0.00386031,0.7936129570007324,96,0.063720703125,548.1647058823529,0.06131920963525772,15.890461341176469,-0.004889045987511054
57,53248,921,26,0.00024872,0.16734054870903492,0.15,-5.458498165011406,0.0048664953,0.7814900279045105,100,0.0980224609375,548.4943820224719,0.012095965445041656,15.97559311235955,-0.006361554071190767
59,55296,922,27,0.0002486688,0.16669366834685206,0.15,-5.435657560825348,0.0034701875,0.810489296913147,104,0.0948486328125,543.8241758241758,-0.009980607777833939,15.759762945054943,-0.006769205734599382
