time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/clip_fraction,train/entropy_loss,train/learning_rate,train/approx_kl,train/clip_range,train/policy_gradient_loss,train/loss,train/n_updates,train/value_loss,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean
982,2048,2,1,,,,,,,,,,,,
908,4096,4,2,0.1417236328125,-5.5402668714523315,0.0002499488,0.005537811,0.15,0.0006825546734035015,3.2581982612609863,4,8.576801002025604,0.0003660917282104492,,
931,6144,6,3,0.2178955078125,-5.534682661294937,0.0002498976,0.0069611263,0.15,0.0031627725693397224,2.9844417572021484,8,9.808098763227463,0.04440164566040039,,
949,8192,8,4,0.121826171875,-5.5395361334085464,0.0002498464,0.0038777671,0.15,0.00185159090324305,3.436882495880127,12,8.865343898534775,0.4243706464767456,,
956,10240,10,5,0.1512451171875,-5.530706375837326,0.0002497952,0.0044976845,0.15,-0.0004290933138690889,3.3463966846466064,16,8.226565569639206,0.5107243061065674,-225.0,600.0
964,12288,12,6,0.269287109375,-5.52085268497467,0.000249744,0.012206736,0.15,0.0069557515234919265,3.7358341217041016,20,9.436799764633179,0.561169445514679,-246.0,672.1111111111111
972,14336,14,7,0.2022705078125,-5.49589629471302,0.0002496928,0.0053332495,0.15,0.004415980380144902,4.038741111755371,24,12.339993983507156,0.5552916526794434,-272.35714285714283,728.0
979,16384,16,8,0.3592529296875,-5.4880951046943665,0.0002496416,0.011344524,0.15,0.013468182878568769,3.9128355979919434,28,12.841470390558243,0.440707266330719,-285.0625,759.4375
983,18432,18,9,0.228759765625,-5.460940554738045,0.0002495904,0.0058953445,0.15,0.003252438531490043,3.3926758766174316,32,7.262843102216721,0.6940426826477051,-285.0625,759.4375
988,20480,20,10,0.2742919921875,-5.489744246006012,0.00024953919999999997,0.006669041,0.15,0.008852827188093215,1.6432186365127563,36,4.434976756572723,0.8466604948043823,-277.52941176470586,742.8235294117648
994,22528,22,11,0.238525390625,-5.493689849972725,0.00024948799999999997,0.013310302,0.15,0.0077676147484453395,1.5309466123580933,40,3.7833267524838448,0.8727606534957886,-264.0,711.952380952381
994,24576,24,12,0.2733154296875,-5.4743213802576065,0.0002494368,0.007982315,0.15,0.005602829507552087,5.717709541320801,44,10.521444916725159,0.7288351058959961,-267.3333333333333,719.6296296296297
996,26624,26,13,0.170166015625,-5.460760280489922,0.0002493856,0.010327407,0.15,-0.0015731721359770745,7.501478672027588,48,11.452646523714066,0.7431014776229858,-273.0,734.4
996,28672,28,14,0.107177734375,-5.4628549963235855,0.0002493344,0.003862233,0.15,-0.003042771219043061,3.4441983699798584,52,7.273138955235481,0.840167224407196,-269.6774193548387,726.0967741935484
993,30720,30,15,0.2669677734375,-5.420839875936508,0.0002492832,0.03091373,0.15,0.004401379526825622,2.302591562271118,56,3.787170320749283,0.8385730981826782,-272.5151515151515,731.4848484848485
994,32768,32,16,0.243408203125,-5.402913674712181,0.000249232,0.020279683,0.15,0.005874199006939307,6.658740043640137,60,11.083057686686516,0.5244768857955933,-274.8529411764706,738.0294117647059
996,34816,34,17,0.3768310546875,-5.339734852313995,0.0002491808,0.014071841,0.15,0.01420053729088977,2.4462296962738037,64,4.179918102920055,0.6560384631156921,-275.48571428571427,739.6857142857143
998,36864,36,18,0.2547607421875,-5.309759274125099,0.0002491296,0.009909858,0.15,0.004526722725131549,1.6992980241775513,68,5.636967986822128,0.6575843095779419,-280.1707317073171,750.4634146341464
999,38912,38,19,0.1910400390625,-5.316806942224503,0.0002490784,0.003599681,0.15,-0.0009898973803501576,6.416539669036865,72,16.295655101537704,0.5287285447120667,-283.64444444444445,759.3777777777777
1000,40960,40,20,0.3514404296875,-5.285743936896324,0.0002490272,0.025941297,0.15,0.009294834293541498,7.766708850860596,76,23.233485877513885,0.5394997596740723,-284.17391304347825,761.0
999,43008,43,21,0.1214599609375,-5.186711952090263,0.000248976,0.0057217577,0.15,-0.00040383817395195365,2.817996025085449,80,7.897344991564751,0.7303193211555481,-280.6470588235294,754.4509803921569
1001,45056,45,22,0.2314453125,-5.139813497662544,0.00024892480000000003,0.012880819,0.15,0.004196131252683699,8.368593215942383,84,18.871378302574158,0.45166462659835815,-271.0357142857143,734.0535714285714
