time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/loss,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/value_loss,train/clip_fraction,train/entropy_loss,train/learning_rate,train/n_updates,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
773,2,1,2048,,,,,,,,,,,,
877,4,2,4096,0.012037649750709534,-0.0003591761051211506,-0.09308910369873047,0.15,0.20674563106149435,0.0,-5.545058578252792,9.995904e-05,4,0.0001820462,,
940,6,3,6144,0.019973214715719223,-0.00038691985537298024,0.049355506896972656,0.15,0.23857339704409242,0.0,-5.544700309634209,9.991808e-05,8,0.00019662708,,
978,8,4,8192,0.022314462810754776,-0.0010809795348905027,0.04119187593460083,0.15,0.19521931326016784,0.0,-5.543641552329063,9.987712e-05,12,0.00071796484,12.390361,501.0
998,10,5,10240,0.059709593653678894,-0.0010399723978480324,0.09868520498275757,0.15,0.2503226469270885,0.0,-5.5398266315460205,9.983616e-05,16,0.0008690794,10.7772412,574.6
1005,12,6,12288,0.08626823872327805,-0.00041404257353860885,0.076549232006073,0.15,0.2779814233072102,0.0,-5.536985099315643,9.97952e-05,20,0.00045548103,11.5675386,629.8
1015,14,7,14336,0.016262847930192947,-0.0021256056206766516,0.18652725219726562,0.15,0.16152541805058718,0.0018310546875,-5.537809684872627,9.975424000000001e-05,24,0.0016329916,13.052529538461538,667.4615384615385
1025,15,8,16384,0.03509480878710747,-0.0020962080161552876,0.18195772171020508,0.15,0.2212004172615707,0.00439453125,-5.531910344958305,9.971328e-05,28,0.0023361477,14.175676437500002,719.0
1035,17,9,18432,0.040100306272506714,-0.002540520465117879,0.3658049702644348,0.15,0.2231427631340921,0.005126953125,-5.523341774940491,9.967232000000001e-05,32,0.002255402,13.73730205882353,711.2941176470588
1039,19,10,20480,0.03605078160762787,-0.0021799068636028096,0.41805946826934814,0.15,0.19997103046625853,0.001953125,-5.519612431526184,9.963136000000001e-05,36,0.0016811811,13.65612552631579,706.9473684210526
1046,21,11,22528,0.044226959347724915,-0.0037670426245313138,0.5365930199623108,0.15,0.2262543966062367,0.0133056640625,-5.512544974684715,9.95904e-05,40,0.0030625898,13.705937476190478,705.2380952380952
