time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/approx_kl,train/learning_rate,train/entropy_loss,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/loss,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
2048,2,1,684,,,,,,,,,,,,
4096,5,2,789,0.005578703,0.0004997952,-5.5430528819561005,-0.09308910369873047,0.1621543262153864,-0.001734526507789269,0.0096435546875,0.2,-0.0007199347019195557,4,,
6144,6,3,878,0.007482407,0.0004995904,-5.535073950886726,0.1062573790550232,0.22071709716692567,-0.002473271975759417,0.0233154296875,0.2,0.003405451774597168,8,,
8192,8,4,930,0.0048708785,0.0004993856,-5.5274040549993515,0.132684588432312,0.18349954206496477,-0.001882232929347083,0.010498046875,0.2,0.02212776243686676,12,9.57084,501.0
10240,10,5,955,0.0064942976,0.0004991808,-5.5014681071043015,0.25169044733047485,0.20767331356182694,-0.0023959868267411366,0.0260009765625,0.2,0.0490441620349884,16,9.7451535,575.0
12288,12,6,972,0.006299077,0.0004989759999999999,-5.501472309231758,0.3725718855857849,0.15814831224270165,-0.003233925555832684,0.0465087890625,0.2,0.01151810958981514,20,12.018107153846156,644.7692307692307
14336,14,7,990,0.007017491,0.0004987712,-5.486289143562317,0.4650838375091553,0.17275993945077062,-0.004237430403009057,0.036376953125,0.2,0.0003078877925872803,24,12.238763400000002,668.4666666666667
16384,16,8,1004,0.005108453,0.0004985664,-5.463467359542847,0.40600478649139404,0.22038607764989138,-0.0029253875254653394,0.0191650390625,0.2,0.029825501143932343,28,12.737162999999999,684.9375
18432,18,9,1013,0.007737805,0.0004983616,-5.441428169608116,0.5304443836212158,0.18099069595336914,-0.004523134732153267,0.042724609375,0.2,0.02500274032354355,32,12.65132294117647,679.1764705882352
20480,20,10,1016,0.0060671074,0.0004981568,-5.473177924752235,0.6332730650901794,0.19819244416430593,-0.0038490022416226566,0.05322265625,0.2,0.05382861942052841,36,12.726164222222222,682.9444444444445
22528,22,11,1017,0.008631928,0.000497952,-5.508581072092056,0.621240496635437,0.19839244335889816,-0.005340640491340309,0.050048828125,0.2,0.024268891662359238,40,12.854810238095236,687.6190476190476
24576,24,12,1021,0.0072109625,0.0004977472000000001,-5.504970878362656,0.5208839774131775,0.2346996464766562,-0.002321077568922192,0.03076171875,0.2,0.044290006160736084,44,13.3209572,697.56
26624,26,13,1022,0.005951774,0.0004975424,-5.502307087182999,0.39715874195098877,0.18673705169931054,-0.0029305745993042365,0.030029296875,0.2,-0.003340616822242737,48,14.204822607142857,717.0
28672,27,14,1026,0.0060440106,0.0004973376,-5.501982808113098,0.49571704864501953,0.19993138639256358,-0.005090160004328936,0.0433349609375,0.2,0.028196200728416443,52,14.811094833333332,732.8666666666667
30720,29,15,1027,0.0059698094,0.0004971328,-5.481372639536858,0.6955826282501221,0.17172369128093123,-0.0052369924378581345,0.0400390625,0.2,0.01568056270480156,56,15.485450687499998,752.625
