time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/loss,train/n_updates,train/value_loss,train/entropy_loss,train/clip_range,rollout/ep_len_mean,train/approx_kl,rollout/ep_rew_mean,train/learning_rate
2048,928,1,2,,,,,,,,,,,,
4096,929,2,4,0.0005249298556009308,0.0928955078125,0.003347933292388916,2.4895644187927246,4,6.9915104657411575,-5.541401892900467,0.15,221.0,0.0028187842,-66.0,0.0002499488
6144,953,3,6,0.0014315335429273546,0.1517333984375,0.10956478118896484,3.243046522140503,8,9.33372063934803,-5.532758176326752,0.15,221.0,0.0059147375,-66.0,0.0002498976
8192,958,4,8,-0.0009097749862121418,0.0703125,0.35931187868118286,3.1014938354492188,12,9.493581414222717,-5.533070743083954,0.15,380.5,0.0017782405,-132.75,0.0002498464
10240,963,5,10,0.0024372742336709052,0.1280517578125,0.19200170040130615,4.709510803222656,16,11.499350607395172,-5.5224117040634155,0.15,479.6,0.0036955744,-169.4,0.0002497952
12288,961,6,12,-0.0007104972464730963,0.107421875,0.3272053003311157,4.239120006561279,20,13.882583886384964,-5.520464450120926,0.15,531.2307692307693,0.0073754177,-191.3846153846154,0.000249744
14336,957,7,14,0.01002455345587805,0.27587890625,0.5401666164398193,3.842223644256592,24,9.063205659389496,-5.495740979909897,0.15,540.55,0.022949198,-195.95,0.0002496928
16384,956,8,17,0.001949518482433632,0.171875,0.488053560256958,10.732083320617676,28,18.054098039865494,-5.43951141834259,0.15,527.304347826087,0.008281428,-190.2608695652174,0.0002496416
18432,961,9,19,0.0011825305264210328,0.178955078125,0.6350311040878296,3.871530771255493,32,10.846513584256172,-5.448012828826904,0.15,512.6923076923077,0.0050581107,-184.0,0.0002495904
20480,963,10,21,0.004838016349822283,0.2451171875,0.6501344442367554,3.247833251953125,36,9.783235237002373,-5.442800462245941,0.15,496.53333333333336,0.015114637,-178.0,0.00024953919999999997
22528,964,11,23,0.0057540810375940055,0.30615234375,0.6306833624839783,5.927549362182617,40,12.36468555033207,-5.423179775476456,0.15,519.1470588235294,0.008500457,-186.58823529411765,0.00024948799999999997
24576,964,12,25,0.003899847448337823,0.218017578125,0.7128866910934448,4.410815238952637,44,10.624177530407906,-5.413733616471291,0.15,513.1282051282051,0.010172358,-184.46153846153845,0.0002494368
26624,962,13,27,0.01112903273315169,0.3575439453125,0.7094815969467163,4.596660614013672,48,11.009141266345978,-5.358565121889114,0.15,527.2380952380952,0.06313293,-189.8095238095238,0.0002493856
28672,961,14,29,0.015074192910105921,0.3988037109375,0.6618416905403137,6.238945007324219,52,11.146844387054443,-5.250960096716881,0.15,518.3478260869565,0.02019802,-185.67391304347825,0.0002493344
30720,962,15,31,0.004634352691937238,0.280517578125,0.6828629970550537,7.054132461547852,56,17.51462811231613,-5.255375906825066,0.15,524.02,0.010269537,-187.84,0.0002492832
32768,963,16,34,0.006801717885537073,0.3209228515625,0.726614236831665,5.572892665863037,60,13.622028440237045,-5.28729872405529,0.15,514.1153846153846,0.017722433,-183.90384615384616,0.000249232
34816,963,17,36,0.01391345143201761,0.3631591796875,0.702067494392395,5.076870918273926,64,10.102318897843361,-5.27975170314312,0.15,524.8928571428571,0.017791422,-187.67857142857142,0.0002491808
36864,964,18,38,0.006415294526959769,0.3692626953125,0.5718326568603516,7.376296043395996,68,15.968487441539764,-5.242581531405449,0.15,523.9677419354839,0.012932397,-187.01612903225808,0.0002491296
