time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/loss,train/value_loss,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/entropy_loss,train/learning_rate,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
689,2048,2,1,,,,,,,,,,,,
652,4096,6,2,0.030840285122394562,0.7498747352510691,0.0003662109375,0.15,-0.00032387449755333364,0.0013488284,-0.03454732894897461,-5.544531524181366,0.0002498976,4,,
681,6144,9,3,0.042286232113838196,0.20746376644819975,0.0101318359375,0.15,-0.0010641862027114257,0.002869278,0.0654531717300415,-5.541697189211845,0.0002497952,8,,
698,8192,11,4,0.052392955869436264,0.23880122788250446,0.0174560546875,0.15,-0.0014220371231203899,0.0035186554,0.04813963174819946,-5.538649141788483,0.0002496928,12,6.6815655,501.5
712,10240,14,5,0.021193847060203552,0.19774621818214655,0.0333251953125,0.15,-0.002087831438984722,0.0052640745,0.3946199417114258,-5.52383391559124,0.0002495904,16,9.909924666666667,550.3333333333334
717,12288,17,6,0.009876929223537445,0.16361340857110918,0.02392578125,0.15,-0.0016630715545034036,0.0043899613,0.48992836475372314,-5.520147234201431,0.00024948799999999997,20,10.695741727272726,607.3636363636364
724,14336,19,7,-0.006011858582496643,0.14750075922347605,0.050048828125,0.15,-0.0033216808005818166,0.0038619027,0.6113587021827698,-5.526038274168968,0.0002493856,24,12.132160142857142,645.0
728,16384,22,8,0.005220197141170502,0.15315769519656897,0.0191650390625,0.15,-0.0030909949564374983,0.0032778624,0.6622912883758545,-5.51614548265934,0.0002492832,28,13.214231375,681.5
732,18432,25,9,-0.01313655823469162,0.13641392858698964,0.0496826171875,0.15,-0.004592491575749591,0.004558587,0.7189460396766663,-5.502914190292358,0.0002491808,32,13.214231375,681.5
734,20480,27,10,-0.009510885924100876,0.14798316033557057,0.1112060546875,0.15,-0.008650229399790987,0.004163553,0.6583365201950073,-5.515124723315239,0.0002490784,36,13.367707882352942,682.5294117647059
732,22528,30,11,-0.008866965770721436,0.16603098716586828,0.107177734375,0.15,-0.009485701331868768,0.0044719903,0.6789116859436035,-5.522091016173363,0.000248976,40,13.766478263157895,688.1578947368421
731,24576,33,12,0.00023440271615982056,0.18078267620876431,0.1163330078125,0.15,-0.00866021602996625,0.0067501673,0.591446578502655,-5.518085867166519,0.00024887360000000003,44,15.489916291666665,720.0833333333334
734,26624,36,13,0.005045384168624878,0.20257962890900671,0.0780029296875,0.15,-0.004350912582594901,0.004952861,0.2394457459449768,-5.511114925146103,0.0002487712,48,16.858300214285713,753.5357142857143
723,28672,39,14,0.003338269889354706,0.1562383659183979,0.0745849609375,0.15,-0.005753913661465049,0.004405543,0.6769492626190186,-5.503844633698463,0.0002486688,52,17.644721322580644,772.0645161290323
727,30720,42,15,-0.014111626893281937,0.15828103106468916,0.09765625,0.15,-0.00736228417372331,0.0070858486,0.6613303422927856,-5.48775041103363,0.0002485664,56,17.67218053125,767.71875
727,32768,45,16,0.030045464634895325,0.20102588646113873,0.067626953125,0.15,-0.005929064922383986,0.0034301868,0.738387942314148,-5.486017495393753,0.000248464,60,18.059867484848485,773.6363636363636
727,34816,47,17,-0.030452966690063477,0.12884725257754326,0.0889892578125,0.15,-0.009409267760929652,0.006290348,0.8461518287658691,-5.472993686795235,0.0002483616,64,18.091805805555552,767.25
729,36864,50,18,0.009161174297332764,0.18069725506938994,0.087646484375,0.15,-0.0072075043062795885,0.0054886546,0.7680251598358154,-5.459748461842537,0.00024825920000000004,68,18.300532824999998,757.575
727,38912,53,19,-0.010646883398294449,0.16778107662685215,0.074462890625,0.15,-0.0063721538172103465,0.0050331713,0.8257362842559814,-5.446557030081749,0.00024815680000000003,72,18.798457,759.6363636363636
726,40960,56,20,-0.004468254745006561,0.16009062714874744,0.0921630859375,0.15,-0.010656497732270509,0.006289345,0.8321681618690491,-5.451184079051018,0.0002480544,76,19.048078,762.4893617021277
727,43008,59,21,-0.020669661462306976,0.12551663699559867,0.0963134765625,0.15,-0.00922882484155707,0.006454152,0.8524299263954163,-5.433499902486801,0.000247952,80,19.064329708333336,761.3958333333334
728,45056,61,22,-0.026129022240638733,0.12193657760508358,0.098876953125,0.15,-0.008868624267051928,0.0064611062,0.8574258089065552,-5.428189530968666,0.0002478496,84,19.090052096153848,753.5384615384615
729,47104,64,23,0.020312540233135223,0.1792599824257195,0.1165771484375,0.15,-0.009730571997351944,0.007382903,0.828382134437561,-5.408102363348007,0.0002477472,88,18.97916001851852,750.8333333333334
728,49152,67,24,-0.006757333874702454,0.15851470781490207,0.1158447265625,0.15,-0.009323811857029796,0.0066876593,0.8558616638183594,-5.40292963385582,0.0002476448,92,19.18665924137931,749.1379310344828
727,51200,70,25,0.002313166856765747,0.1848372311796993,0.1553955078125,0.15,-0.011603506602114066,0.0071995794,0.7813671231269836,-5.4120683670043945,0.0002475424,96,19.575961619047614,746.7936507936508
725,53248,73,26,-0.0245465487241745,0.16796607873402536,0.1319580078125,0.15,-0.01235098936012946,0.007188403,0.8057245016098022,-5.395968928933144,0.00024744,100,19.783767030769233,748.2615384615384
724,55296,76,27,-0.012936756014823914,0.16424678987823427,0.1341552734375,0.15,-0.009809020149987191,0.00826214,0.8286070823669434,-5.400817006826401,0.0002473376,104,19.667662058823534,739.7058823529412
724,57344,79,28,-0.021470189094543457,0.16581990476697683,0.147216796875,0.15,-0.011845546643598936,0.008430934,0.815838098526001,-5.396715864539146,0.0002472352,108,19.663984811594204,736.7246376811594
725,59392,81,29,-0.0230606310069561,0.14862120780162513,0.127197265625,0.15,-0.010024916322436184,0.0071103745,0.8702148795127869,-5.386609524488449,0.0002471328,112,19.847925999999998,735.4861111111111
725,61440,84,30,-0.026748858392238617,0.12776599801145494,0.122802734375,0.15,-0.011646655097138137,0.008048091,0.892146646976471,-5.3800870925188065,0.0002470304,116,19.82068461038961,727.2987012987013
725,63488,87,31,-0.01776295155286789,0.17620134679600596,0.1099853515625,0.15,-0.009432173304958269,0.005971957,0.7924370169639587,-5.385226309299469,0.000246928,120,20.1156364875,727.5375
726,65536,90,32,-0.017555229365825653,0.16594035364687443,0.098876953125,0.15,-0.011293528892565519,0.0063527087,0.8761824369430542,-5.363003686070442,0.00024682560000000004,124,20.1156364875,727.5375
725,67584,93,33,-0.02004820853471756,0.1712934870738536,0.1243896484375,0.15,-0.014660206084954552,0.008306919,0.8739532828330994,-5.359326884150505,0.00024672320000000003,128,20.175396457831326,728.1325301204819
724,69632,96,34,-0.009911619126796722,0.1630404486786574,0.1265869140625,0.15,-0.01179988493095152,0.008307729,0.8126277327537537,-5.347692146897316,0.0002466208,132,20.413994329545456,728.1704545454545
721,71680,99,35,-0.016159795224666595,0.21048249071463943,0.150634765625,0.15,-0.008074564830167219,0.0110719595,0.8356372117996216,-5.3326795399188995,0.0002465184,136,20.380806838709677,721.2258064516129
721,73728,102,36,-0.009809650480747223,0.14790948200970888,0.107177734375,0.15,-0.011224337024032138,0.0058268895,0.9045714735984802,-5.347959637641907,0.000246416,140,20.40789656842105,721.421052631579
715,75776,105,37,-0.03873307257890701,0.14529473055154085,0.1265869140625,0.15,-0.012860075832577422,0.0085390145,0.8805520534515381,-5.344191923737526,0.0002463136,144,20.468922340206188,721.1443298969073
715,77824,108,38,-0.01002395898103714,0.18886440666392446,0.1051025390625,0.15,-0.00984998670173809,0.006226292,0.8148553371429443,-5.329755946993828,0.0002462112,148,20.512059270000005,717.31
716,79872,111,39,-0.009793475270271301,0.19856016198173165,0.13818359375,0.15,-0.009943149649188854,0.008704673,0.8345593810081482,-5.3214606791734695,0.0002461088,152,20.733318920000006,718.16
715,81920,114,40,-0.015414457768201828,0.15994305349886417,0.134521484375,0.15,-0.01475830443087034,0.008558992,0.8786311149597168,-5.318644657731056,0.00024600640000000003,156,21.4587949,724.3
715,83968,117,41,-0.02755817398428917,0.13540124334394932,0.207275390625,0.15,-0.015513268939685076,0.010309323,0.9092124700546265,-5.301050901412964,0.000245904,160,21.705639440000006,725.06
716,86016,120,42,-0.01835138350725174,0.1267220489680767,0.1126708984375,0.15,-0.009638992341933772,0.0073755505,0.9072607755661011,-5.302851155400276,0.0002458016,164,21.852163990000005,724.62
715,88064,123,43,-0.028126932680606842,0.13819034211337566,0.12890625,0.15,-0.012676745929638855,0.0096671,0.8979346752166748,-5.308833450078964,0.0002456992,168,22.180565930000007,727.25
716,90112,125,44,-0.017917461693286896,0.15624440950341523,0.1396484375,0.15,-0.010391362913651392,0.0092063565,0.8790640234947205,-5.274831011891365,0.0002455968,172,22.216588810000005,725.69
716,92160,128,45,-0.027562253177165985,0.14269246556796134,0.1470947265625,0.15,-0.014372940640896559,0.009416323,0.9100796580314636,-5.2932040095329285,0.0002454944,176,22.510880359999998,724.49
716,94208,131,46,-0.01649085432291031,0.1484086001291871,0.140380859375,0.15,-0.012585055694216862,0.008677843,0.9254773855209351,-5.283111706376076,0.000245392,180,22.547450830000002,714.2
716,96256,134,47,-0.018240872770547867,0.12303837016224861,0.1201171875,0.15,-0.010783653153339401,0.008185299,0.93800950050354,-5.24229396879673,0.0002452896,184,22.40945852000001,710.03
715,98304,137,48,-0.02776998281478882,0.15647667949087918,0.1650390625,0.15,-0.01570280484884279,0.011548994,0.881254255771637,-5.218083709478378,0.0002451872,188,22.465042930000003,703.77
714,100352,140,49,-0.05808261036872864,0.08642106503248215,0.188720703125,0.15,-0.01832272464525886,0.012380154,0.944707989692688,-5.2040436416864395,0.0002450848,192,22.447862460000007,699.92
714,102400,143,50,-0.036771245300769806,0.12989184213802218,0.1541748046875,0.15,-0.015353265887824818,0.009917249,0.9286062717437744,-5.2288675755262375,0.0002449824,196,22.406709179999996,697.46
713,104448,146,51,0.011754237115383148,0.17985689896158874,0.1431884765625,0.15,-0.01404270640341565,0.007844419,0.8918763995170593,-5.236446127295494,0.00024488,200,22.532434750000004,696.24
712,106496,149,52,-0.046160988509655,0.11057837936095893,0.1474609375,0.15,-0.019194178516045213,0.010372058,0.9361480474472046,-5.252756640315056,0.0002447776,204,22.73031568,700.97
711,108544,152,53,-0.008997462689876556,0.17228177562355995,0.1466064453125,0.15,-0.015816477360203862,0.010917624,0.8740766644477844,-5.2503276616334915,0.00024467520000000004,208,23.068636590000004,705.54
709,110592,155,54,-0.053544677793979645,0.11255824682302773,0.1673583984375,0.15,-0.016656822263030335,0.011382425,0.9250033497810364,-5.260377272963524,0.00024457280000000003,212,23.098757420000002,703.3
708,112640,158,55,-0.036678485572338104,0.13976118271239102,0.1690673828125,0.15,-0.017095069983042777,0.011536589,0.9120930433273315,-5.218770265579224,0.0002444704,216,23.057051460000007,701.12
707,114688,161,56,-0.030878271907567978,0.12893281900323927,0.1412353515625,0.15,-0.014479919715085998,0.007935939,0.918137788772583,-5.239576607942581,0.000244368,220,23.203296310000006,705.38
706,116736,165,57,-0.04780653119087219,0.12271356699056923,0.1278076171875,0.15,-0.01877520691778045,0.009286719,0.9316543936729431,-5.274490624666214,0.0002442656,224,23.27173514,704.95
705,118784,168,58,-0.027550004422664642,0.17221069242805243,0.15673828125,0.15,-0.016545396560104564,0.0099860495,0.8957965970039368,-5.259074032306671,0.0002441632,228,23.574194070000004,706.83
705,120832,171,59,-0.03920203447341919,0.17014508764259517,0.1314697265625,0.15,-0.01747348444769159,0.009935625,0.9233425855636597,-5.2195257395505905,0.0002440608,232,23.566230330000003,705.56
704,122880,174,60,-0.042395900934934616,0.11226037004962564,0.180908203125,0.15,-0.017780329886591062,0.016354792,0.9419792890548706,-5.232007026672363,0.00024395839999999998,236,23.626027630000006,708.12
704,124928,177,61,-0.02937272936105728,0.1433913721702993,0.1639404296875,0.15,-0.018045764387352392,0.011852811,0.933637261390686,-5.218309715390205,0.000243856,240,23.67964611,708.29
703,126976,180,62,-0.053238097578287125,0.08600856305565685,0.1866455078125,0.15,-0.018682181733311154,0.013969427,0.9508610367774963,-5.223252028226852,0.0002437536,244,23.76828477,709.04
703,129024,183,63,-0.038414765149354935,0.12210998823866248,0.1865234375,0.15,-0.019982079800684005,0.011839451,0.928732693195343,-5.224532961845398,0.00024365120000000002,248,23.89502578,711.84
701,131072,186,64,-0.03776964917778969,0.13672995334491134,0.1356201171875,0.15,-0.019235036801546812,0.009936415,0.9450234770774841,-5.225958317518234,0.0002435488,252,24.099917299999998,718.38
700,133120,190,65,-0.04467064142227173,0.10573066165670753,0.1600341796875,0.15,-0.02095585278584622,0.022644967,0.9481296539306641,-5.222525358200073,0.0002434464,256,24.29447843000001,721.29
700,135168,193,66,-0.059937551617622375,0.1065058751264587,0.1614990234375,0.15,-0.0219631866493728,0.010344043,0.9361326098442078,-5.199826702475548,0.00024334400000000002,260,24.49149316,725.82
699,137216,196,67,-0.05092847719788551,0.13159412727691233,0.18505859375,0.15,-0.02219267253531143,0.0123974485,0.919309675693512,-5.234008491039276,0.0002432416,264,24.49149316,725.82
699,139264,199,68,-0.04361896961927414,0.19855925114825368,0.1593017578125,0.15,-0.02202207819209434,0.01129297,0.8513820171356201,-5.228837624192238,0.0002431392,268,24.632838309999997,729.48
698,141312,202,69,-0.053143274039030075,0.10717114503495395,0.1536865234375,0.15,-0.022188110568095,0.012113937,0.9342297911643982,-5.215916648507118,0.0002430368,272,24.497396159999994,724.67
697,143360,205,70,-0.048199355602264404,0.12652886961586773,0.16650390625,0.15,-0.02083641079661902,0.013991604,0.940505862236023,-5.193559616804123,0.0002429344,276,24.836851799999998,733.04
697,145408,208,71,-0.06491056084632874,0.09939285181462765,0.197265625,0.15,-0.02520528732566163,0.0145966625,0.9489668607711792,-5.177628129720688,0.000242832,280,24.892200479999996,734.29
697,147456,211,72,-0.0584019273519516,0.11167198012117296,0.1868896484375,0.15,-0.020248157903552055,0.0136304125,0.9383996725082397,-5.1877362579107285,0.0002427296,284,25.048494329999997,738.47
696,149504,214,73,-0.05023565888404846,0.11751083610579371,0.17724609375,0.15,-0.022830605041235685,0.014083995,0.9316794276237488,-5.199848085641861,0.0002426272,288,25.15903773,740.9
695,151552,217,74,-0.06617457419633865,0.10480253142304718,0.184814453125,0.15,-0.024276395939523354,0.0159944,0.9275743961334229,-5.194538816809654,0.0002425248,292,25.47858555,751.04
695,153600,220,75,-0.047514114528894424,0.1282586003653705,0.1923828125,0.15,-0.02120395773090422,0.015246886,0.9274038076400757,-5.201993048191071,0.0002424224,296,25.61038926,754.55
695,155648,223,76,-0.06664633750915527,0.11384603870101273,0.1778564453125,0.15,-0.023461281060008332,0.013013204,0.9310793280601501,-5.135442078113556,0.00024232000000000002,300,25.839187189999993,761.46
695,157696,226,77,-0.03930819779634476,0.15040821651928127,0.176025390625,0.15,-0.020262027974240482,0.01100608,0.9172617793083191,-5.127589002251625,0.00024221760000000002,304,25.922017859999997,761.97
695,159744,229,78,-0.07637718319892883,0.08749314351007342,0.19580078125,0.15,-0.022980373571044765,0.012798227,0.9374353289604187,-5.155790731310844,0.0002421152,308,26.14693053,767.39
694,161792,232,79,-0.0702582448720932,0.09672678029164672,0.2039794921875,0.15,-0.026798563441843726,0.017087214,0.9457859396934509,-5.137627795338631,0.0002420128,312,26.28670406,768.38
694,163840,236,80,-0.0567375048995018,0.10016845783684403,0.19970703125,0.15,-0.0182633449730929,0.015542865,0.9389986991882324,-5.147081896662712,0.0002419104,316,26.274878530000002,767.0
693,165888,239,81,-0.0643085390329361,0.07691908336710185,0.2369384765625,0.15,-0.025675616576336324,0.021331793,0.9598830938339233,-5.119569197297096,0.000241808,320,26.478027299999997,771.91
691,167936,242,82,-0.05962914228439331,0.08138506661634892,0.225341796875,0.15,-0.02792799103190191,0.02059884,0.9575484395027161,-5.113658770918846,0.0002417056,324,26.655993589999998,773.03
689,169984,246,83,-0.06806238740682602,0.10371847334317863,0.23486328125,0.15,-0.024024707090575248,0.018143661,0.9327386021614075,-5.073712036013603,0.0002416032,328,26.831718899999995,774.27
688,172032,250,84,-0.08964033424854279,0.08530954306479543,0.2342529296875,0.15,-0.027816753834486008,0.01906858,0.9490735530853271,-5.126783236861229,0.0002415008,332,26.9884112,777.23
687,174080,253,85,-0.0653948038816452,0.10990966809913516,0.222900390625,0.15,-0.019846901501296088,0.017111678,0.9241284132003784,-5.116631865501404,0.0002413984,336,27.035514219999996,780.01
687,176128,256,86,-0.06963148713111877,0.09587060881312937,0.2069091796875,0.15,-0.028300780279096216,0.016925128,0.9510245323181152,-5.109472081065178,0.00024129600000000003,340,27.314719529999998,785.81
687,178176,259,87,-0.059075161814689636,0.11475129728205502,0.2232666015625,0.15,-0.02633256569970399,0.016222294,0.9482125043869019,-5.11108036339283,0.00024119360000000002,344,27.464264430000004,790.4
687,180224,262,88,-0.07725874334573746,0.08828019083011895,0.2197265625,0.15,-0.02743789294618182,0.020994775,0.9525521397590637,-5.054510310292244,0.0002410912,348,27.81587692,798.78
687,182272,265,89,-0.07504107058048248,0.09114416094962507,0.224853515625,0.15,-0.028101810021325946,0.020787813,0.9536935091018677,-5.10415244102478,0.0002409888,352,27.99270978,800.43
686,184320,268,90,-0.06817905604839325,0.10184268176089972,0.2025146484375,0.15,-0.02827460569096729,0.018749204,0.9347420930862427,-5.099601730704308,0.0002408864,356,28.275434579999995,804.88
685,186368,271,91,-0.06741558015346527,0.13581441645510495,0.220947265625,0.15,-0.0294110948452726,0.019419065,0.9310466647148132,-5.098512649536133,0.000240784,360,28.54548068,807.16
685,188416,274,92,-0.07846824824810028,0.1109243230894208,0.2476806640625,0.15,-0.029457808268489316,0.017084358,0.9462385177612305,-5.059590846300125,0.0002406816,364,28.60855310000001,807.65
685,190464,277,93,-0.0710250735282898,0.1047758562490344,0.2291259765625,0.15,-0.03138574800686911,0.021460611,0.9418812394142151,-5.060475051403046,0.0002405792,368,28.606450040000006,810.45
685,192512,280,94,-0.0646449401974678,0.10278743365779519,0.23388671875,0.15,-0.028118716159951873,0.022805225,0.9347125887870789,-5.080908447504044,0.0002404768,372,28.818770020000002,812.69
684,194560,284,95,-0.07707587629556656,0.09277567290700972,0.262939453125,0.15,-0.028279792924877256,0.027863758,0.9581360220909119,-5.059373438358307,0.0002403744,376,29.03322528,817.53
684,196608,287,96,-0.07583075761795044,0.09498361812438816,0.2747802734375,0.15,-0.02290334869758226,0.025794063,0.9497261047363281,-5.031054183840752,0.00024027199999999998,380,29.107069770000003,819.47
682,198656,290,97,-0.07182866334915161,0.0888833343051374,0.22607421875,0.15,-0.028662551056186203,0.02023974,0.9582951068878174,-5.063640505075455,0.00024016960000000003,384,29.325082400000007,822.99
682,200704,294,98,-0.07700841128826141,0.08896611561067402,0.2418212890625,0.15,-0.030315377691294998,0.020226838,0.9435420036315918,-5.0577700436115265,0.00024006720000000002,388,29.61611679,828.44
682,202752,297,99,-0.07613673806190491,0.10066240350715816,0.2530517578125,0.15,-0.031016341177746654,0.01940228,0.9473233222961426,-5.095104470849037,0.0002399648,392,29.94752022,833.85
682,204800,300,100,-0.09126785397529602,0.0910315114306286,0.2471923828125,0.15,-0.03039913749671541,0.026748672,0.9557644724845886,-5.029455587267876,0.0002398624,396,29.98915866,833.31
682,206848,303,101,-0.04887215793132782,0.12907106848433614,0.204833984375,0.15,-0.024621007964015007,0.017236032,0.9026183485984802,-5.0303017646074295,0.00023976,400,30.117876369999998,835.04
681,208896,306,102,-0.05950072407722473,0.10861687164288014,0.2105712890625,0.15,-0.0287690745171858,0.020165594,0.9365207552909851,-5.077041879296303,0.00023965760000000001,404,30.371272830000002,841.83
681,210944,309,103,-0.08031703531742096,0.0848008245229721,0.2222900390625,0.15,-0.030156601744238287,0.020438652,0.9579329490661621,-4.986386463046074,0.0002395552,408,30.48732937,842.93
681,212992,312,104,-0.06964155286550522,0.10712828231044114,0.207763671875,0.15,-0.03128965961514041,0.018612828,0.9430002570152283,-5.015734225511551,0.0002394528,412,30.534651199999995,843.5
680,215040,315,105,-0.03383516147732735,0.16682697250507772,0.21630859375,0.15,-0.026705897325882688,0.01813253,0.9193876385688782,-4.990456908941269,0.0002393504,416,30.627776129999997,842.69
680,217088,319,106,-0.08706089109182358,0.07221876899711788,0.2442626953125,0.15,-0.03266381216235459,0.023729183,0.9624042510986328,-4.976451486349106,0.00023924799999999998,420,30.70960079,846.09
680,219136,322,107,-0.08300705254077911,0.07373034348711371,0.2554931640625,0.15,-0.03300784060411388,0.027985226,0.9571013450622559,-4.999037325382233,0.00023914560000000003,424,30.66132556,845.81
679,221184,325,108,-0.06991276890039444,0.11303055984899402,0.25390625,0.15,-0.0290190367231844,0.024907479,0.9101340770721436,-5.016376107931137,0.00023904320000000002,428,30.64533799,845.62
680,223232,328,109,-0.07193470001220703,0.08709502767305821,0.2572021484375,0.15,-0.03630780740058981,0.024067575,0.9419620633125305,-4.992297023534775,0.00023894080000000001,432,30.67108479,848.32
679,225280,331,110,-0.06497152894735336,0.11310439929366112,0.2640380859375,0.15,-0.030952382701798342,0.024914391,0.930378794670105,-4.971963331103325,0.0002388384,436,30.91217756,853.05
679,227328,334,111,-0.044742271304130554,0.11967873433604836,0.253173828125,0.15,-0.02845809649443254,0.026402285,0.9341397285461426,-4.979596644639969,0.000238736,440,31.152031999999995,856.07
679,229376,337,112,-0.0837295800447464,0.07870728324633092,0.2401123046875,0.15,-0.03149948288046289,0.023843529,0.9627095460891724,-4.937528654932976,0.00023863360000000002,444,31.3573249,862.38
679,231424,340,113,-0.031369782984256744,0.18357710959389806,0.2606201171875,0.15,-0.02573306002886966,0.02605237,0.9221653342247009,-4.884992778301239,0.0002385312,448,31.395726159999995,860.74
678,233472,344,114,-0.06440965086221695,0.11493908241391182,0.25439453125,0.15,-0.02639127234579064,0.026679179,0.9516292214393616,-4.898760110139847,0.0002384288,452,31.498877139999994,861.58
678,235520,347,115,-0.07390576601028442,0.09336826868820935,0.22705078125,0.15,-0.03233237119275145,0.023328893,0.9456697702407837,-4.885850355029106,0.0002383264,456,31.450251870000002,858.66
678,237568,350,116,-0.07095041871070862,0.09564709500409663,0.2989501953125,0.15,-0.03395502342027612,0.028372444,0.9297096729278564,-4.965191945433617,0.000238224,460,31.39967561,852.44
677,239616,353,117,-0.06457577645778656,0.15112407971173525,0.2647705078125,0.15,-0.02964940224774182,0.025325906,0.9334274530410767,-4.910106927156448,0.0002381216,464,31.31820041000001,847.01
677,241664,356,118,-0.0675562173128128,0.10137007723096758,0.2410888671875,0.15,-0.03314429393503815,0.022456741,0.9595043659210205,-4.843798384070396,0.0002380192,468,31.31820041000001,847.01
676,243712,360,119,-0.054370731115341187,0.15899039548821747,0.2574462890625,0.15,-0.03103228608961217,0.02410058,0.9211040139198303,-4.9300876557827,0.00023791680000000002,472,31.23241515,843.59
676,245760,363,120,-0.06729409843683243,0.11425621341913939,0.2470703125,0.15,-0.03168922592885792,0.021067126,0.9301421642303467,-4.897488072514534,0.0002378144,476,31.23241515,843.59
676,247808,366,121,-0.07654450088739395,0.0899491822347045,0.2724609375,0.15,-0.03294468828244135,0.027037043,0.9206080436706543,-4.912479609251022,0.000237712,480,31.44703222,844.37
675,249856,369,122,-0.0574798658490181,0.15551861678250134,0.2796630859375,0.15,-0.029156164717278443,0.025468834,0.9207496643066406,-4.918078139424324,0.0002376096,484,31.23954013,839.95
675,251904,372,123,-0.07518041133880615,0.11650250433012843,0.25390625,0.15,-0.0339093029324431,0.026388831,0.9628260731697083,-4.818875655531883,0.00023750720000000002,488,31.178676989999996,839.69
674,253952,376,124,-0.05245067924261093,0.1158991577103734,0.260009765625,0.15,-0.03140490865916945,0.02326364,0.9451099038124084,-4.81345696747303,0.0002374048,492,31.0378378,837.8
674,256000,379,125,-0.062461622059345245,0.10106591018848121,0.311767578125,0.15,-0.03402598653337918,0.030177824,0.9386937618255615,-4.8483507335186005,0.0002373024,496,31.0378378,837.8
674,258048,382,126,-0.07151037454605103,0.08278327842708677,0.3126220703125,0.15,-0.032682530174497515,0.03765478,0.9518649578094482,-4.809476882219315,0.0002372,500,31.171387789999997,842.82
674,260096,385,127,-0.0656919777393341,0.09563327708747238,0.2646484375,0.15,-0.030688316852319986,0.028799603,0.9503403306007385,-4.845363274216652,0.00023709759999999998,504,30.988991430000002,833.9
674,262144,388,128,-0.0666089728474617,0.12572049419395626,0.2750244140625,0.15,-0.029066021961625665,0.024367962,0.9672895669937134,-4.810652077198029,0.0002369952,508,30.927534210000005,830.09
