time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/n_updates,train/approx_kl,train/loss,train/clip_range,train/learning_rate,train/clip_fraction,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/value_loss,rollout/ep_len_mean,rollout/ep_rew_mean
773,2048,1,2,,,,,,,,,,,,
829,4096,2,4,4,0.0041837394,-0.005233496427536011,0.15,0.0002498976,0.0396728515625,-0.12426269054412842,-5.542950510978699,-0.003817286022240296,0.13792098127305508,,
869,6144,3,7,8,0.0014960842,0.044204048812389374,0.15,0.0002497952,0.0001220703125,-0.01814091205596924,-5.540834873914719,-0.0013513238009181805,0.2441302272491157,,
886,8192,4,9,12,0.0037295236,0.012347310781478882,0.15,0.0002496928,0.024169921875,0.05691903829574585,-5.530636847019196,-0.0017605524190003052,0.18305890960618854,493.0,8.1373705
884,10240,5,11,16,0.0028335948,0.05233387649059296,0.15,0.0002495904,0.0072021484375,0.1299695372581482,-5.527768030762672,-0.0014248442894313484,0.21545579424127936,563.75,9.284556624999999
894,12288,6,13,20,0.0033857648,0.055137962102890015,0.15,0.00024948799999999997,0.01953125,0.32794302701950073,-5.511706814169884,-0.0015647370455553755,0.24794047884643078,614.6666666666666,10.664047166666665
903,14336,7,15,24,0.004070311,0.04363711550831795,0.15,0.0002493856,0.0281982421875,0.3723621368408203,-5.5089671313762665,-0.0018655826934264041,0.2174294563010335,651.5,11.945499214285714
898,16384,8,18,28,0.0011091179,0.04960060492157936,0.15,0.0002492832,0.0,0.4348500967025757,-5.511212706565857,-0.0006457411654992029,0.24094908451661468,692.625,13.295441624999999
902,18432,9,20,32,0.0041006235,0.041098929941654205,0.15,0.0002491808,0.0318603515625,0.502034068107605,-5.517926022410393,-0.0035347434895811602,0.2269686576910317,692.625,13.295441624999999
902,20480,10,22,36,0.0046717287,0.04274335131049156,0.15,0.0002490784,0.0450439453125,0.4091106057167053,-5.510823503136635,-0.0027213698340347037,0.19411881268024445,688.578947368421,13.301900315789473
906,22528,11,24,40,0.0041846437,0.04716663435101509,0.15,0.000248976,0.0465087890625,0.3467779755592346,-5.520242616534233,-0.002087442437186837,0.2050974895246327,694.7619047619048,13.59913138095238
907,24576,12,27,44,0.0036215838,0.016900531947612762,0.15,0.00024887360000000003,0.0177001953125,0.461193323135376,-5.5185000747442245,-0.00158592191291973,0.2043729815632105,703.32,14.07600036
909,26624,13,29,48,0.0025136475,0.046313170343637466,0.15,0.0002487712,0.0084228515625,0.3338434100151062,-5.524118170142174,-0.0014242644829209894,0.2558029843494296,715.2962962962963,14.438458296296297
900,28672,14,31,52,0.0050240327,0.030446261167526245,0.15,0.0002486688,0.063720703125,0.6083981990814209,-5.5137611627578735,-0.0030679171613883227,0.20659106085076928,752.1666666666666,15.759432266666666
897,30720,15,34,56,0.0013331166,0.03473888337612152,0.15,0.0002485664,0.0,0.5889465808868408,-5.514321148395538,-0.0005165939073776826,0.19637214858084917,749.7878787878788,15.82381793939394
898,32768,16,36,60,0.0043637836,0.02087235450744629,0.15,0.000248464,0.052001953125,0.5586874485015869,-5.516527831554413,-0.0024071004445431754,0.19612407637760043,750.6764705882352,15.803888058823532
897,34816,17,38,64,0.003691077,0.007460292428731918,0.15,0.0002483616,0.051513671875,0.6595500111579895,-5.503133550286293,-0.0034891742398031056,0.1633689603768289,759.4285714285714,15.908122542857145
897,36864,18,41,68,0.00276356,0.05657632648944855,0.15,0.00024825920000000004,0.009765625,0.5597376823425293,-5.516658738255501,-0.0016682366258464754,0.24717978481203318,763.8684210526316,16.026550657894735
897,38912,19,43,72,0.0037413763,0.03269007056951523,0.15,0.00024815680000000003,0.032958984375,0.701706051826477,-5.512080833315849,-0.0023637411068193614,0.2095020259730518,762.7954545454545,15.844033227272728
897,40960,20,45,76,0.0039702617,0.04441775009036064,0.15,0.0002480544,0.0281982421875,0.582356870174408,-5.498898833990097,-0.0020257921423763037,0.20901991659775376,766.9347826086956,15.976007869565219
893,43008,21,48,80,0.0019906585,0.06738857924938202,0.15,0.000247952,0.0020751953125,0.5915136337280273,-5.499626785516739,-0.0012629284610738978,0.23777612997218966,767.5510204081633,16.010312428571428
891,45056,22,50,84,0.0048210835,0.022187992930412292,0.15,0.0002478496,0.0467529296875,0.7189363837242126,-5.504707425832748,-0.004720129974884912,0.19513008510693908,770.46,16.07149638
890,47104,23,52,88,0.0016137469,0.031428225338459015,0.15,0.0002477472,0.0020751953125,0.6823435425758362,-5.507921665906906,-0.0011396814370527864,0.2304962412454188,768.7547169811321,16.10070545283019
891,49152,24,55,92,0.0024833316,0.030916370451450348,0.15,0.0002476448,0.0081787109375,0.6913309097290039,-5.525528252124786,-0.0017770490958355367,0.20412217685952783,767.4545454545455,16.133570981818185
891,51200,25,57,96,0.0036023876,0.033292852342128754,0.15,0.0002475424,0.0335693359375,0.678827166557312,-5.519151031970978,-0.002259551241877489,0.2032511061988771,769.9122807017544,16.253728982456142
891,53248,26,59,100,0.0040761344,0.04069317504763603,0.15,0.00024744,0.0762939453125,0.7243870496749878,-5.523256629705429,-0.004536604785243981,0.19582695653662086,774.5901639344262,16.46930695081967
892,55296,27,61,104,0.0019982313,0.053958553820848465,0.15,0.0002473376,0.0030517578125,0.5771902799606323,-5.515816703438759,-0.0012430612259777263,0.23390459781512618,775.2258064516129,16.560324258064515
892,57344,28,64,108,0.0053652115,0.03223352134227753,0.15,0.0002472352,0.0548095703125,0.7356610298156738,-5.5174078196287155,-0.004304034140659496,0.20027982024475932,777.515625,16.66039915625
