time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/explained_variance,train/clip_fraction,train/n_updates,train/loss,train/entropy_loss,train/value_loss,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
3,1,603,2048,,,,,,,,,,,,
5,2,688,4096,0.15,-0.003632684441981837,0.0002499488,0.05503803491592407,0.0479736328125,4,0.012228339910507202,-5.543303951621056,0.25212854775600135,0.004224561,,
8,3,752,6144,0.15,-0.0010302534501533955,0.0002498976,-0.03375840187072754,0.000732421875,8,0.08301404118537903,-5.5425184816122055,0.29454681370407343,0.0014518728,,
10,4,788,8192,0.15,-0.0027420084516052157,0.0002498464,0.09006297588348389,0.0191650390625,12,-0.004334662109613419,-5.541987746953964,0.1446356070227921,0.0035682372,11.188454,504.0
12,5,807,10240,0.15,-0.0023989573819562793,0.0002497952,0.20669102668762207,0.0374755859375,16,0.02466592937707901,-5.533153653144836,0.194308758713305,0.003673019,10.500566000000001,575.7142857142857
14,6,827,12288,0.15,-0.0013604683481389657,0.000249744,0.5186731815338135,0.0035400390625,20,0.01737818866968155,-5.533480241894722,0.18009858299046755,0.0020897528,11.62577181818182,616.5454545454545
17,7,841,14336,0.15,-0.0015401106647914276,0.0002496928,0.5240404605865479,0.0067138671875,24,0.026744119822978973,-5.535190895199776,0.2493066107854247,0.002356843,12.60710023076923,651.6153846153846
19,8,851,16384,0.15,-0.0016756708937464282,0.0002496416,0.5600828528404236,0.0008544921875,28,0.0019621215760707855,-5.537983000278473,0.20021122600883245,0.0014685905,14.18623325,711.375
21,9,859,18432,0.15,-0.0022595126793021336,0.0002495904,0.52254319190979,0.009765625,32,0.038444969803094864,-5.535660579800606,0.2330143372528255,0.0025825317,14.18623325,711.375
23,10,865,20480,0.15,-0.002600375795736909,0.00024953919999999997,0.7193467617034912,0.0093994140625,36,0.015522792935371399,-5.533942878246307,0.18319918890483677,0.0026868032,13.7646175,699.6666666666666
25,11,869,22528,0.15,-0.003985141811426729,0.00024948799999999997,0.7125390768051147,0.0458984375,40,-0.0013916641473770142,-5.524387374520302,0.1603329968638718,0.002582667,13.800888,695.9
28,12,867,24576,0.15,-0.0012181018246337771,0.0002494368,0.6780390739440918,0.002685546875,44,0.001719590276479721,-5.521935254335403,0.17902216571383178,0.001533415,14.895993576923077,731.3846153846154
30,13,862,26624,0.15,-0.003769749484490603,0.0002493856,0.7522551417350769,0.026123046875,48,0.004321277141571045,-5.526632785797119,0.17846276727505028,0.0025367453,15.104732724137932,740.551724137931
33,14,865,28672,0.15,-0.002536847794544883,0.0002493344,0.8071807622909546,0.01953125,52,0.012758586555719376,-5.507966309785843,0.14693132229149342,0.0034123678,15.053299533333334,739.3
35,15,867,30720,0.15,-0.00363256546552293,0.0002492832,0.7108292579650879,0.0703125,56,0.07103444635868073,-5.521665066480637,0.27639401284977794,0.0038059927,15.082597187500001,742.34375
37,16,869,32768,0.15,-0.002055959455901757,0.000249232,0.7049808502197266,0.029296875,60,0.0024908222258090973,-5.52398145198822,0.16280367271974683,0.003992894,15.315123454545455,749.030303030303
39,17,870,34816,0.15,-0.0037504840875044465,0.0002491808,0.5353535413742065,0.045166015625,64,0.005724065005779266,-5.517460271716118,0.15619419957511127,0.0027643025,15.499306200000001,752.4
42,18,870,36864,0.15,-0.001608028687769547,0.0002491296,0.7141035795211792,0.0010986328125,68,-0.004958048462867737,-5.521116808056831,0.14413648913614452,0.0014280875,15.741163513513513,758.0540540540541
44,19,870,38912,0.15,-0.003540139921824448,0.0002490784,0.7616962790489197,0.0220947265625,72,-0.0010490231215953827,-5.518263325095177,0.14776266389526427,0.0028312649,16.278685707317074,768.560975609756
47,20,871,40960,0.15,-0.004541435366263613,0.0002490272,0.5719742774963379,0.0826416015625,76,-0.010340794920921326,-5.513689503073692,0.17053900589235127,0.0049602715,16.684737227272727,785.25
49,21,871,43008,0.15,-0.005423661699751392,0.000248976,0.748062252998352,0.0870361328125,80,0.009916115552186966,-5.502230703830719,0.1883671241812408,0.00528826,16.864249130434782,789.4347826086956
51,22,872,45056,0.15,-0.004073278047144413,0.00024892480000000003,0.7611685991287231,0.0604248046875,84,-0.0033363476395606995,-5.497799307107925,0.19467785954475403,0.0031018732,17.12810294,795.38
54,23,870,47104,0.15,-0.0048017259541666135,0.00024887360000000003,0.7865748405456543,0.0631103515625,88,0.021947503089904785,-5.476906478404999,0.20427894545719028,0.0036139118,17.170195411764706,791.4509803921569
56,24,868,49152,0.15,-0.003305848629679531,0.0002488224,0.7808920741081238,0.04052734375,92,0.005198627710342407,-5.458735242486,0.1664203512482345,0.0036611531,17.30596462264151,788.2830188679245
59,25,866,51200,0.15,-0.004890393669484183,0.0002487712,0.7013570666313171,0.0643310546875,96,0.03619608283042908,-5.458642095327377,0.2256642635911703,0.0038583595,17.587527181818185,792.7636363636364
