time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/entropy_loss,train/explained_variance,train/clip_range,train/value_loss,train/clip_fraction,train/loss,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
26624,25,13,1056,0.001394886,-0.0023013475874904543,0.0004975424,-5.5294917821884155,0.6531530022621155,0.1,0.1756364367902279,0.0338134765625,0.013334497809410095,48,14.518618384615383,737.6923076923077
28672,27,14,1055,0.0012805642,-0.0022600857337238267,0.0004973376,-5.534342020750046,0.5989354252815247,0.1,0.18673981074243784,0.01904296875,0.009959354996681213,52,15.677763419354838,768.9354838709677
30720,29,15,1055,0.0013481348,-0.002399364559096284,0.0004971328,-5.528751820325851,0.6456922292709351,0.1,0.22383496165275574,0.039306640625,0.030055198818445206,56,15.825262794117648,771.0
32768,31,16,1056,0.0009735321,-0.003967271986766718,0.000496928,-5.531969785690308,0.6847943067550659,0.1,0.17958820005878806,0.0604248046875,0.012434080243110657,60,15.756107085714286,769.2857142857143
34816,32,17,1056,0.0017968521,-0.0029422313964460045,0.0004967232,-5.52804571390152,0.6860240697860718,0.1,0.19831733033061028,0.0682373046875,0.01855935901403427,64,15.685969611111112,764.4722222222222
36864,34,18,1057,0.003552026,-0.003969979079556651,0.0004965184000000001,-5.5245543867349625,0.5925695896148682,0.1,0.15302804741077125,0.1070556640625,0.011687785387039185,68,15.93545353846154,762.1794871794872
38912,36,19,1057,0.0027220673,-0.001423638386768289,0.0004963136000000001,-5.521838501095772,0.5866181254386902,0.1,0.25853404542431235,0.0732421875,0.06351219862699509,72,16.061550949999997,764.375
40960,38,20,1056,0.0019673314,-0.004077261604834348,0.0004961088,-5.511310487985611,0.7146128416061401,0.1,0.18376772198826075,0.077392578125,0.006290070712566376,76,16.488077739130432,767.1086956521739
43008,40,21,1056,0.0016608923,-0.0031062873895280063,0.000495904,-5.501595631241798,0.7373396158218384,0.1,0.20990708796307445,0.0830078125,0.022989090532064438,80,16.8333148125,770.6666666666666
45056,42,22,1057,0.0024129683,-0.0034568860719446093,0.0004956992,-5.510462731122971,0.7285832166671753,0.1,0.22291057277470827,0.1253662109375,0.026121854782104492,84,17.081770254901958,771.0392156862745
47104,44,23,1057,0.0033324962,-0.003924788994481787,0.0004954944,-5.4985769391059875,0.5941042900085449,0.1,0.2537489915266633,0.1514892578125,0.06992758810520172,88,17.288630722222223,768.8888888888889
49152,46,24,1058,0.004001847,-0.006011417979607359,0.0004952896,-5.487187027931213,0.7652279734611511,0.1,0.19912773463875055,0.17626953125,0.030846603214740753,92,17.218687072727274,766.5636363636364
51200,48,25,1058,0.0029585592,-0.005699710687622428,0.0004950848,-5.491524294018745,0.7838651537895203,0.1,0.16839137393981218,0.12890625,0.0002933815121650696,96,17.236521140350877,765.4035087719299
53248,50,26,1057,0.0035150591,-0.003239319921704009,0.00049488,-5.479199826717377,0.6657490730285645,0.1,0.24902626825496554,0.158447265625,0.03757020831108093,100,17.419817693548385,760.8387096774194
55296,52,27,1057,0.0020173807,-0.0034915336436824873,0.0004946752,-5.476974979043007,0.7924613356590271,0.1,0.2064032992348075,0.0853271484375,0.0383782759308815,104,17.556802015151515,758.5
57344,54,28,1058,0.003752322,-0.0026398064219392836,0.0004944704,-5.479915738105774,0.7106355428695679,0.1,0.28390096593648195,0.140625,0.04654008895158768,108,17.754484318840582,758.8115942028985
59392,56,29,1059,0.002675314,-0.003888621198711917,0.0004942656,-5.466099739074707,0.7777365446090698,0.1,0.2018510322086513,0.1097412109375,0.014494486153125763,112,17.893734300000006,760.0
61440,57,30,1059,0.0035006308,-0.0046698532096343115,0.0004940608,-5.466729164123535,0.749818742275238,0.1,0.21636423468589783,0.1500244140625,0.025963783264160156,116,17.92566702816902,758.4507042253521
63488,59,31,1059,0.0033404639,-0.0041462139779469,0.000493856,-5.4569748640060425,0.8318805694580078,0.1,0.17709937482140958,0.14453125,0.008761972188949585,120,18.09968519736842,757.4736842105264
65536,61,32,1058,0.003637122,-0.0022864735146868043,0.0004936512000000001,-5.45154832303524,0.7796621918678284,0.1,0.21688616648316383,0.147216796875,0.024547893553972244,124,18.2295336625,754.9
67584,63,33,1058,0.003753384,-0.0039211796974996105,0.0004934464000000001,-5.453679248690605,0.8451694250106812,0.1,0.1920688827522099,0.1546630859375,0.01762719452381134,128,18.307625108433733,753.289156626506
69632,65,34,1058,0.0050446163,-0.004345605135313235,0.0004932416,-5.45255620777607,0.8580541014671326,0.1,0.1681980793364346,0.179931640625,0.012178279459476471,132,18.334724870588232,751.9882352941177
71680,67,35,1058,0.003554279,-0.006200923147844151,0.0004930368,-5.433991760015488,0.8675540685653687,0.1,0.14805694739334285,0.1878662109375,0.002608802169561386,136,18.379205813953487,753.9418604651163
73728,69,36,1057,0.0026599825,-0.006337550672469661,0.000492832,-5.419045373797417,0.7931007742881775,0.1,0.223133631516248,0.1207275390625,0.03697531670331955,140,18.356662644444445,747.8666666666667
75776,71,37,1057,0.0031450635,-0.0052805367595283315,0.0004926272,-5.427558436989784,0.8554838299751282,0.1,0.17783288564532995,0.142822265625,0.011797524988651276,144,18.54132379787234,747.7872340425532
77824,73,38,1057,0.0027825397,-0.002656194497831166,0.0004924224,-5.434056133031845,0.8815481662750244,0.1,0.1753935923334211,0.1231689453125,0.011448293924331665,148,18.662312836734696,746.3163265306123
