time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/entropy_loss,train/n_updates,train/explained_variance,train/loss,train/learning_rate,train/clip_fraction,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/clip_range,rollout/ep_rew_mean,rollout/ep_len_mean
2048,1,2,702,,,,,,,,,,,,
4096,2,4,827,-5.5447432696819305,4,-0.09308910369873047,0.0025748908519744873,0.0002498976,0.002197265625,0.00096602197,0.1819665520451963,-0.0008220080198952928,0.1,,
6144,3,6,904,-5.543582886457443,8,0.07462084293365479,0.034522801637649536,0.0002497952,0.0062255859375,0.0009598115,0.27141066128388047,-0.0007773691322654486,0.1,,
8192,4,8,946,-5.53903466463089,12,0.010917901992797852,0.03512407839298248,0.0002496928,0.0386962890625,0.0016602764,0.22963613178581,-0.0012894185056211427,0.1,11.388036,501.0
10240,5,10,963,-5.537732899188995,16,0.17115968465805054,0.07265870273113251,0.0002495904,0.0579833984375,0.0025885704,0.2320727393962443,-0.0024894981033867225,0.1,11.344327333333334,570.6666666666666
12288,6,12,974,-5.536611378192902,20,0.2930294871330261,0.03892826288938522,0.00024948799999999997,0.0235595703125,0.0017138373,0.21977118263021111,-0.001285456382902339,0.1,12.0768574,621.0
14336,7,14,988,-5.535596877336502,24,0.40985292196273804,0.011273223906755447,0.0002493856,0.041015625,0.0021028942,0.1725039309822023,-0.001506450935266912,0.1,12.181678583333332,646.8333333333334
16384,8,16,996,-5.534493267536163,28,0.43461620807647705,0.026481881737709045,0.0002492832,0.0120849609375,0.00109183,0.21757471421733499,-0.0006064703338779509,0.1,14.0165034,703.5333333333333
18432,9,18,1005,-5.537461534142494,32,0.5755196809768677,0.01764936000108719,0.0002491808,0.0321044921875,0.0015672276,0.16118933958932757,-0.001942753660841845,0.1,13.869161625,690.8125
20480,10,20,1012,-5.5350711941719055,36,0.5737968683242798,0.025017939507961273,0.0002490784,0.05126953125,0.0018887733,0.14567508385516703,-0.0017995706730289385,0.1,14.223347789473683,714.7894736842105
22528,11,22,1015,-5.528716668486595,40,0.6515119671821594,0.018363364040851593,0.000248976,0.060791015625,0.0021697981,0.182258578017354,-0.002504080592188984,0.1,14.256180391304346,716.0434782608696
24576,12,24,1017,-5.5215997993946075,44,0.7513933777809143,0.018293872475624084,0.00024887360000000003,0.071533203125,0.0017277561,0.18064463790506124,-0.0021314769983291626,0.1,14.183604214285712,724.8214285714286
26624,13,26,1021,-5.5193484127521515,48,0.6326034069061279,0.06891705840826035,0.0002487712,0.0008544921875,0.0006385511,0.25450368085876107,-0.00042331647273385897,0.1,14.160736827586204,725.0344827586207
28672,14,28,1023,-5.519301787018776,52,0.6379284858703613,0.02351830154657364,0.0002486688,0.0740966796875,0.00228093,0.19791320012882352,-0.0025134182651527226,0.1,14.554696766666664,731.0666666666667
30720,15,29,1024,-5.511925175786018,56,0.5689408183097839,0.0361877903342247,0.0002485664,0.0458984375,0.0026180758,0.20567612163722515,-0.002092694558086805,0.1,14.6339836875,728.09375
32768,16,31,1024,-5.507336661219597,60,0.517263650894165,0.02631128579378128,0.000248464,0.0374755859375,0.0017957829,0.24806967051699758,-0.001732710632495582,0.1,14.880360028571427,734.9428571428572
34816,17,33,1025,-5.496438026428223,64,0.6685751676559448,0.02203953266143799,0.0002483616,0.068359375,0.00196343,0.2136241947300732,-0.0022592229943256825,0.1,15.190860342105264,735.1578947368421
36864,18,35,1026,-5.489957734942436,68,0.641615629196167,0.03374934196472168,0.00024825920000000004,0.0220947265625,0.001098257,0.2430578926578164,-0.0005391159211285412,0.1,15.60973381395349,743.3720930232558
38912,19,37,1029,-5.493345275521278,72,0.6803419589996338,0.037432439625263214,0.00024815680000000003,0.0533447265625,0.002004393,0.21584261441603303,-0.0023821131326258183,0.1,15.638509933333335,741.5777777777778
40960,20,39,1030,-5.495068281888962,76,0.6802316904067993,0.08933620154857635,0.0002480544,0.121826171875,0.002558615,0.3073447849601507,-0.002711821725824848,0.1,15.735799276595747,743.3617021276596
43008,21,41,1030,-5.4913327395915985,80,0.6773972511291504,0.022887498140335083,0.000247952,0.068359375,0.002626414,0.17819980904459953,-0.002546248389990069,0.1,15.749165187500003,743.0208333333334
45056,22,43,1032,-5.494308844208717,84,0.7896283864974976,0.021556034684181213,0.0002478496,0.0634765625,0.0020473637,0.16610532789491117,-0.0024141754838638008,0.1,15.912204408163266,746.1020408163265
47104,23,45,1033,-5.496343985199928,88,0.667628288269043,0.06925038993358612,0.0002477472,0.0552978515625,0.0017630109,0.18944604601711035,-0.0015408329345518723,0.1,16.109796725490195,749.9607843137255
49152,24,47,1033,-5.489663779735565,92,0.7281747460365295,0.017399948090314865,0.0002476448,0.078369140625,0.0025706973,0.1849773759022355,-0.004615491649019532,0.1,16.44097696491228,759.1578947368421
