time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/approx_kl,train/loss,train/clip_range,train/entropy_loss,train/value_loss,train/explained_variance,train/clip_fraction,rollout/ep_rew_mean,rollout/ep_len_mean
258048,1031,250,126,-0.005419890294433571,500,0.0002372,0.009572794,-0.01098199188709259,0.2,-5.167554333806038,0.16727285273373127,0.9575644731521606,0.085693359375,23.18220037,635.42
260096,1031,252,127,-0.004415167437400669,504,0.00023709759999999998,0.008846393,0.04313588887453079,0.2,-5.196083053946495,0.24087211908772588,0.9210484027862549,0.0921630859375,23.56884372,643.35
262144,1031,254,128,-0.007518118771258742,508,0.0002369952,0.008578323,0.030311278998851776,0.2,-5.224740743637085,0.20836933190003037,0.9433324337005615,0.11328125,23.583254670000002,643.13
264192,1031,256,129,-0.007686372089665383,512,0.00023689280000000002,0.008964485,0.014462940394878387,0.2,-5.1291253715753555,0.2142261010594666,0.9525552988052368,0.064453125,23.76623186,644.92
266240,1031,258,130,-0.00702302364516072,516,0.00023679040000000002,0.006973202,0.045970745384693146,0.2,-5.149784684181213,0.23594645410776138,0.9329887628555298,0.09765625,23.752584309999996,641.96
268288,1031,260,131,-0.006125040890765376,520,0.000236688,0.009707464,0.017849639058113098,0.2,-5.277219980955124,0.1852711671963334,0.9346265196800232,0.078125,23.94933473,644.47
270336,1031,262,132,-0.006937189478776418,524,0.0002365856,0.009698901,0.0032876133918762207,0.2,-5.197144463658333,0.20086048217490315,0.9555419087409973,0.080810546875,24.01523705,646.58
272384,1031,264,133,-0.008611485100118443,528,0.00023648320000000002,0.0072417334,0.033124104142189026,0.2,-5.0869364738464355,0.2047777660191059,0.9544535279273987,0.0791015625,23.959377680000003,646.69
274432,1031,265,134,-0.007850574955227785,532,0.0002363808,0.007059901,0.013761725276708603,0.2,-5.147406071424484,0.18261900800280273,0.9517713785171509,0.050048828125,24.073549800000002,646.84
276480,1031,268,135,-0.008275121595943347,536,0.0002362784,0.007800498,0.06249640882015228,0.2,-5.1997242122888565,0.30134069081395864,0.9002946615219116,0.072509765625,24.308361620000007,650.58
278528,1031,269,136,-0.00811425935535226,540,0.000236176,0.006390151,0.027113694697618484,0.2,-5.163315340876579,0.15957188117317855,0.9541900157928467,0.0623779296875,24.469843800000003,651.19
280576,1031,271,137,-0.010535657333093695,544,0.0002360736,0.011771054,0.03964114189147949,0.2,-5.0743919759988785,0.24662321340292692,0.9400141835212708,0.1146240234375,24.606681480000002,650.91
282624,1031,273,138,-0.005950882943579927,548,0.0002359712,0.008447645,0.05196671187877655,0.2,-5.011932268738747,0.2289567799307406,0.9531098008155823,0.0885009765625,24.54444058,647.22
284672,1031,275,139,-0.004767803751747124,552,0.0002358688,0.009034343,0.06768106669187546,0.2,-5.094372600317001,0.2939037811011076,0.9278579950332642,0.0777587890625,24.77594607,653.52
286720,1031,277,140,-0.003540591773344204,556,0.0002357664,0.0072775744,0.04746416211128235,0.2,-5.0038334131240845,0.3200515490025282,0.9134889841079712,0.044921875,24.827606819999996,652.03
288768,1031,279,141,-0.006342611915897578,560,0.000235664,0.008299889,0.1073916107416153,0.2,-5.050888612866402,0.3329434529878199,0.9118467569351196,0.079345703125,24.817885210000004,648.7
