time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/approx_kl,train/n_updates,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/loss,train/clip_fraction,train/clip_range,train/entropy_loss,rollout/ep_len_mean,rollout/ep_rew_mean
724,2,1,2048,,,,,,,,,,,,
842,4,2,4096,0.0001820462,4,0.20674563106149435,-0.09308910369873047,-0.0003591761051211506,9.995904e-05,0.012037649750709534,0.0,0.2,-5.545058578252792,,
910,6,3,6144,0.00019662708,8,0.23857339704409242,0.049355506896972656,-0.00038691985537298024,9.991808e-05,0.019973214715719223,0.0,0.2,-5.544700309634209,,
950,8,4,8192,0.00071796484,12,0.19521931326016784,0.04119187593460083,-0.0010809795348905027,9.987712e-05,0.022314462810754776,0.0,0.2,-5.543641552329063,501.0,12.390361
972,10,5,10240,0.0008690794,16,0.2503226469270885,0.09868520498275757,-0.0010399723978480324,9.983616e-05,0.059709593653678894,0.0,0.2,-5.5398266315460205,574.6,10.7772412
983,12,6,12288,0.00045548103,20,0.2779814233072102,0.076549232006073,-0.00041404257353860885,9.97952e-05,0.08626823872327805,0.0,0.2,-5.536985099315643,629.8,11.5675386
995,14,7,14336,0.0016370352,24,0.1615252154879272,0.18652725219726562,-0.002153792098397389,9.975424000000001e-05,0.015484265983104706,0.0,0.2,-5.537808507680893,667.4615384615385,13.052529538461538
1002,16,8,16384,0.0028085485,28,0.2223575199022889,0.17932814359664917,-0.0023740579636069015,9.971328e-05,0.036303676664829254,0.000732421875,0.2,-5.531204849481583,719.0,14.175772250000001
1014,18,9,18432,0.0029253273,32,0.22366195218637586,0.3778146505355835,-0.0029165973828639835,9.967232000000001e-05,0.046834077686071396,0.001953125,0.2,-5.519800886511803,711.2941176470588,13.740207352941177
1021,20,10,20480,0.0026141433,36,0.22529598465189338,0.39906394481658936,-0.0028856535791419446,9.963136000000001e-05,0.041119590401649475,0.000244140625,0.2,-5.508483991026878,712.5,13.845852166666667
1026,21,11,22528,0.0024036313,40,0.2799297831952572,0.417477548122406,-0.0017782690556487069,9.95904e-05,0.06990109384059906,0.0001220703125,0.2,-5.5078596621751785,707.7272727272727,13.76896959090909
1029,23,12,24576,0.0005495235,44,0.22705674078315496,0.5822938680648804,-0.00011235589045099914,9.954944000000001e-05,0.054359711706638336,0.0,0.2,-5.508838355541229,717.1481481481482,14.18809088888889
1034,25,13,26624,0.0012525701,48,0.2237081197090447,0.5975865125656128,-0.0017702413169899955,9.950848e-05,0.042139943689107895,0.0,0.2,-5.5050172209739685,721.5,14.316079066666667
1038,27,14,28672,0.0010312833,52,0.21959586720913649,0.5784099102020264,-0.001090945370378904,9.946752e-05,0.045625440776348114,0.0,0.2,-5.513714507222176,723.7878787878788,14.400597121212122
1040,29,15,30720,0.00048032575,56,0.24590216763317585,0.534296989440918,-0.00020782978390343487,9.942656e-05,0.07227814197540283,0.0,0.2,-5.512871235609055,720.0882352941177,14.313519529411765
1042,31,16,32768,0.0012429673,60,0.2220183894969523,0.532038152217865,-0.0013477881002472714,9.93856e-05,0.03624916449189186,0.0,0.2,-5.519680291414261,715.1621621621622,14.081840000000001
1044,33,17,34816,0.00041769387,64,0.2763673239387572,0.5090768337249756,-0.0005938765389146283,9.934464e-05,0.06510606408119202,0.0,0.2,-5.527010232210159,712.0,13.998281794871795
1045,35,18,36864,0.00032678072,68,0.24670758470892906,0.5974434614181519,-0.000635774660622701,9.930368000000001e-05,0.04513607174158096,0.0,0.2,-5.527026981115341,715.275,14.06472995
1044,37,19,38912,0.0055212867,72,0.21139450976625085,0.6150898337364197,-0.003899558010743931,9.926272000000001e-05,0.03185921907424927,0.008056640625,0.2,-5.513072371482849,727.9782608695652,14.561591065217396
1045,39,20,40960,0.00016409368,76,0.24785211123526096,0.6264527440071106,-7.827082299627364e-05,9.922176e-05,0.03826452046632767,0.0,0.2,-5.492408633232117,736.265306122449,14.919293734693877
1047,41,21,43008,0.0018275306,80,0.2284790864214301,0.697665274143219,-0.0013695921079488471,9.918080000000001e-05,0.04387231543660164,0.0,0.2,-5.502706870436668,738.62,14.96495494
1050,42,22,45056,0.00072466955,84,0.20880776084959507,0.7424424886703491,-0.001226069056428969,9.913984e-05,0.019161216914653778,0.0,0.2,-5.513160273432732,736.0,14.955895461538462
1049,44,23,47104,0.001466189,88,0.21190424915403128,0.7136472463607788,-0.002494246160495095,9.909888e-05,0.02764517068862915,0.0,0.2,-5.5161769688129425,739.4363636363636,15.075815981818183
1051,46,24,49152,0.00025429134,92,0.2596748936921358,0.5963952541351318,-0.00032519883825443685,9.905792000000001e-05,0.0459689199924469,0.0,0.2,-5.516753926873207,739.3333333333334,15.07621042105263
1053,48,25,51200,0.00038572348,96,0.21675034053623676,0.6319829821586609,-0.00032211125653702766,9.901696e-05,0.04700356721878052,0.0,0.2,-5.512581288814545,740.2241379310345,15.092708844827586
1055,50,26,53248,0.0019094439,100,0.18846252001821995,0.6047375202178955,-0.0016017050802474841,9.8976e-05,0.030227333307266235,0.0,0.2,-5.512798607349396,744.483870967742,15.301554629032257
1054,52,27,55296,0.00037412494,104,0.2708127745427191,0.4604266285896301,-0.00019959930796176195,9.893504e-05,0.08986306190490723,0.0,0.2,-5.513989239931107,752.1515151515151,15.525158757575758
1055,54,28,57344,0.00040387816,108,0.2219169964082539,0.5920165777206421,-0.0005370346116251312,9.889408e-05,0.05714058876037598,0.0,0.2,-5.511949360370636,755.4776119402985,15.68781423880597
1056,56,29,59392,0.0012426571,112,0.24080760683864355,0.5436211824417114,-0.0008242563635576516,9.885312e-05,0.08119950443506241,0.0,0.2,-5.517201021313667,754.9855072463768,15.744630260869565
1057,58,30,61440,0.0014795304,116,0.16682043531909585,0.7299633026123047,-0.0014868206344544888,9.881216000000001e-05,0.014105945825576782,0.0,0.2,-5.508727982640266,759.7605633802817,16.055084549295778
1057,60,31,63488,0.0017565163,120,0.22503977827727795,0.6302116513252258,-0.0015699403884354979,9.877120000000001e-05,0.053258612751960754,0.0,0.2,-5.503282397985458,760.88,15.938411479999997
1057,61,32,65536,0.0006544697,124,0.20411962689831853,0.7603787183761597,-0.0008611545636085793,9.873024e-05,0.0223301462829113,0.0,0.2,-5.492896839976311,762.2987012987013,15.911753999999997
1058,63,33,67584,0.0014691992,128,0.1990290330722928,0.8316632509231567,-0.001114814673201181,9.868928000000001e-05,0.031177639961242676,0.0,0.2,-5.497391536831856,764.7283950617284,15.95605675308642
1059,65,34,69632,0.004075192,132,0.22932936577126384,0.7385114431381226,-0.003666393953608349,9.864832e-05,0.031040683388710022,0.0062255859375,0.2,-5.509614109992981,764.5595238095239,15.913158107142854
1060,67,35,71680,0.0025143228,136,0.18370105978101492,0.6717385053634644,-0.0013074063317617401,9.860736e-05,0.02718208357691765,0.0,0.2,-5.529450058937073,764.5595238095239,15.913158107142854
1061,69,36,73728,0.00041245666,140,0.14475927571766078,0.521797776222229,-0.0007037984905764461,9.85664e-05,0.012463342398405075,0.0,0.2,-5.531228855252266,766.1279069767442,15.984598895348833
1061,71,37,75776,0.0012081587,144,0.18226089933887124,0.63466876745224,-0.0011564290325623006,9.852544e-05,0.01451314240694046,0.0,0.2,-5.53315857052803,767.629213483146,16.113659764044943
1061,73,38,77824,0.0002989681,148,0.27309669367969036,0.6332216262817383,-0.0006667277339147404,9.848448000000001e-05,0.05955444276332855,0.0,0.2,-5.533601850271225,760.8526315789474,15.847277178947369
1061,75,39,79872,0.0018057632,152,0.21846652450039983,0.7555772066116333,-0.0022370246588252485,9.844352e-05,0.0309370718896389,0.0,0.2,-5.53183525800705,764.7142857142857,15.82667857142857
1061,77,40,81920,0.0002703636,156,0.20869527338072658,0.7312653064727783,-0.0002709069522097707,9.840256000000001e-05,0.04717202112078667,0.0,0.2,-5.522801533341408,766.6868686868687,15.86508414141414
1061,79,41,83968,0.0010757624,160,0.20226914435625076,0.7046778202056885,-0.0014697130100103095,9.83616e-05,0.01710914447903633,0.0,0.2,-5.525851637125015,772.18,15.989034409999999
1061,81,42,86016,0.0006891448,164,0.185230634175241,0.7175287008285522,-0.0016104688693303615,9.832064000000001e-05,0.03524864464998245,0.0,0.2,-5.523824721574783,775.23,16.03280353
1062,82,43,88064,0.00046516713,168,0.23550839442759752,0.5748379230499268,-0.0008080604602582753,9.827968e-05,0.036789655685424805,0.0,0.2,-5.524676248431206,775.23,16.03280353
1063,84,44,90112,0.004785399,172,0.20255588833242655,0.6859021186828613,-0.0019625793647719547,9.823872e-05,0.036919038742780685,0.00341796875,0.2,-5.514937594532967,776.97,16.1514102
1062,86,45,92160,0.00032977038,176,0.18522082827985287,0.8435755968093872,-0.0009435210231458768,9.819776000000001e-05,0.042468685656785965,0.0,0.2,-5.504961505532265,787.89,16.6105596
1061,88,46,94208,0.0039431453,180,0.26655192114412785,0.7162030935287476,-0.0009309161105193198,9.81568e-05,0.06541455537080765,0.004638671875,0.2,-5.513245448470116,788.13,16.7466175
1061,90,47,96256,0.008064864,184,0.24739767471328378,0.6725761294364929,-0.004679963793023489,9.811584000000001e-05,0.04453130438923836,0.03759765625,0.2,-5.524272292852402,784.64,16.75839822
1061,92,48,98304,0.0022762679,188,0.1982236858457327,0.6435239315032959,-0.0009483430185355246,9.807488e-05,0.016841720789670944,0.0,0.2,-5.523098140954971,787.13,16.94622017
1061,94,49,100352,0.005738912,192,0.20530620450153947,0.6633315086364746,-0.002998250041855499,9.803392e-05,0.028338253498077393,0.02978515625,0.2,-5.5293852388858795,785.18,16.899498989999998
1061,96,50,102400,0.0004625109,196,0.22765592392534018,0.7759354710578918,-0.0007330356602324173,9.799296e-05,0.04115953668951988,0.0,0.2,-5.535474240779877,784.5,16.929058020000003
1061,98,51,104448,0.0007682977,200,0.2290470413863659,0.7326310873031616,-0.0011260875762673095,9.7952e-05,0.04912060499191284,0.0,0.2,-5.534839957952499,785.67,16.910207800000002
1060,100,52,106496,0.0028730864,204,0.18906944431364536,0.7788044214248657,-0.001827750529628247,9.791104000000001e-05,0.013338759541511536,0.0045166015625,0.2,-5.529969558119774,786.59,17.00685641
1060,102,53,108544,0.0068789385,208,0.224973329808563,0.747094452381134,-0.0023536537773907185,9.787008e-05,0.048313915729522705,0.026611328125,0.2,-5.516648560762405,790.02,17.08239192
1060,104,54,110592,0.0026189117,212,0.18958044331520796,0.72984778881073,-0.0018955942359752953,9.782912000000001e-05,0.025939617305994034,0.0030517578125,0.2,-5.521295830607414,791.24,17.06902576
1060,106,55,112640,0.004246088,216,0.16999118030071259,0.7864552140235901,-0.0020021807140437886,9.778816e-05,0.025398731231689453,0.0224609375,0.2,-5.527967244386673,788.47,17.05667345
1059,108,56,114688,0.006045578,220,0.21810445375740528,0.6623014211654663,-0.0037775154487462714,9.774720000000001e-05,0.01279904693365097,0.0260009765625,0.2,-5.52688954770565,787.64,16.98282971
1059,110,57,116736,0.0052471836,224,0.23839391255751252,0.5277712345123291,-0.0021003944420954213,9.770624e-05,0.0505485013127327,0.012939453125,0.2,-5.521831855177879,783.65,16.90524484
1059,112,58,118784,0.0023245765,228,0.1777976588346064,0.7952551245689392,-0.0034778812405420467,9.766528e-05,0.01805805414915085,0.042236328125,0.2,-5.515838518738747,785.1,16.95972593
1059,114,59,120832,0.0013614448,232,0.2293489589355886,0.7063316106796265,-0.0023211993102449924,9.762432000000001e-05,0.041688863188028336,0.0150146484375,0.2,-5.493608891963959,786.77,17.09873337
1059,115,60,122880,0.006149996,236,0.2258809176273644,0.6921281218528748,-0.00594033463858068,9.758336e-05,0.03438456356525421,0.05419921875,0.2,-5.509683132171631,784.68,17.046008750000002
1060,117,61,124928,0.0057991394,240,0.220116363838315,0.7220256328582764,-0.0044527846039272845,9.75424e-05,0.03826330602169037,0.0411376953125,0.2,-5.499830886721611,785.86,17.06828461
1059,119,62,126976,0.0017776594,244,0.18982453225180507,0.698688268661499,-0.0019124503596685827,9.750144e-05,0.011003382503986359,0.00048828125,0.2,-5.5074231922626495,786.66,17.203348000000002
1058,121,63,129024,0.0048569506,248,0.19985262351110578,0.7604891061782837,-0.0011057213559979573,9.746048000000001e-05,0.03125808760523796,0.01513671875,0.2,-5.489843189716339,787.53,17.337363319999998
1058,123,64,131072,0.002052119,252,0.18277454003691673,0.8187199234962463,-0.0011180599103681743,9.741952e-05,0.01846207305788994,0.0172119140625,0.2,-5.491630107164383,787.12,17.42144314
1059,125,65,133120,0.002511026,256,0.21192095475271344,0.7787210941314697,-0.00161797582404688,9.737856000000001e-05,0.06570496410131454,0.0079345703125,0.2,-5.4795660972595215,786.55,17.422479069999998
1059,127,66,135168,0.0012817177,260,0.25272731436416507,0.6694104671478271,-0.0008017899963306263,9.733760000000001e-05,0.0511893704533577,0.00732421875,0.2,-5.478471577167511,786.16,17.49709703
1059,129,67,137216,0.005149275,264,0.2874375260435045,0.7455238699913025,-0.004668049776228145,9.729664e-05,0.05392546206712723,0.055908203125,0.2,-5.47899255156517,784.47,17.48346456
1059,131,68,139264,0.008190332,268,0.2346964729949832,0.7202364206314087,-0.006440570854465477,9.725568000000001e-05,0.056295521557331085,0.085693359375,0.2,-5.47027350962162,781.79,17.43132522
1058,133,69,141312,0.0030270026,272,0.2580907163210213,0.7579728364944458,-0.0019796620326815173,9.721472e-05,0.04292482137680054,0.0115966796875,0.2,-5.472063347697258,777.3,17.59129802
1058,135,70,143360,0.0012993637,276,0.2570276567712426,0.7376351356506348,-0.001890576197183691,9.717376e-05,0.05036214739084244,0.02490234375,0.2,-5.4778378158807755,774.29,17.792222689999996
