time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/clip_fraction,train/clip_range,train/learning_rate,train/explained_variance,train/n_updates,train/loss,rollout/ep_len_mean,rollout/ep_rew_mean
697,1,2048,2,,,,,,,,,,,,
824,2,4096,4,-5.544736444950104,-0.0008761720528127626,0.0009942424,0.18198400409892201,0.0,0.15,0.0002498976,-0.09308910369873047,4,0.002202969044446945,,
907,3,6144,6,-5.5430464297533035,-0.0008023064729059115,0.00095029105,0.2699901135638356,0.0001220703125,0.15,0.0002497952,0.07688963413238525,8,0.03463651239871979,,
950,4,8192,8,-5.5368040055036545,-0.0011361472425051033,0.0025965832,0.2229614988900721,0.0189208984375,0.15,0.0002496928,0.008604884147644043,12,0.0418817512691021,500.0,11.434637
970,5,10240,10,-5.535941943526268,-0.0015649398555979133,0.0017162648,0.20220645517110825,0.002197265625,0.15,0.0002495904,0.21324807405471802,16,0.034923020750284195,564.0,10.6393925
981,6,12288,12,-5.529344946146011,-0.003887702594511211,0.004641513,0.1979945027269423,0.051025390625,0.15,0.00024948799999999997,0.379511296749115,20,0.022806942462921143,631.2222222222222,11.852606
992,7,14336,14,-5.533815190196037,-0.0005469993920996785,0.0015447557,0.18394789705052972,0.0010986328125,0.15,0.0002493856,0.4443598985671997,24,0.026573143899440765,676.1666666666666,13.09359425
1002,8,16384,16,-5.530408591032028,-0.0004010312113678083,0.00095638644,0.18909920565783978,0.0,0.15,0.0002492832,0.45348185300827026,28,0.029803872108459473,723.6,14.681724866666666
1012,9,18432,18,-5.533471792936325,-0.0016027787933126092,0.0024927522,0.165174076333642,0.0076904296875,0.15,0.0002491808,0.38076794147491455,32,0.01161983236670494,723.6,14.681724866666666
1015,10,20480,20,-5.540442004799843,-0.0028348670894047245,0.003148247,0.21762756491079926,0.0130615234375,0.15,0.0002490784,0.4585803747177124,36,0.04194650799036026,738.3333333333334,14.86453938888889
1017,11,22528,22,-5.542434453964233,-0.002006787108257413,0.0026421514,0.17335026152431965,0.010498046875,0.15,0.000248976,0.5740239024162292,40,0.037349168211221695,735.4545454545455,14.87765290909091
1019,12,24576,24,-5.5366315841674805,-0.0027524946199264377,0.0040832367,0.1819711891002953,0.0203857421875,0.15,0.00024887360000000003,0.6176111698150635,44,0.014211274683475494,727.5185185185185,14.538823037037037
1022,13,26624,26,-5.530503466725349,-0.001249536799150519,0.00221855,0.17592993844300508,0.0040283203125,0.15,0.0002487712,0.5567162036895752,48,0.022213540971279144,734.9666666666667,14.886336
1025,14,28672,27,-5.509066089987755,-0.004830605379538611,0.0057564834,0.18026759754866362,0.08251953125,0.15,0.0002486688,0.6279093027114868,52,0.024472922086715698,731.84375,14.65107428125
1027,15,30720,29,-5.506838366389275,-0.0028998566704103723,0.004472763,0.19940880266949534,0.039794921875,0.15,0.0002485664,0.5839319825172424,56,0.017391309142112732,729.969696969697,14.624479545454545
1029,16,32768,31,-5.5050492733716965,-0.0010269399790558964,0.0016137098,0.17075540777295828,0.0,0.15,0.000248464,0.6901938915252686,60,0.028742510825395584,732.7714285714286,14.655569742857143
1029,17,34816,33,-5.495379060506821,-0.00304138200590387,0.0043380205,0.20074427220970392,0.03955078125,0.15,0.0002483616,0.5687602162361145,64,0.03483572602272034,725.925,14.635668550000002
1030,18,36864,35,-5.494101256132126,-0.003947571007302031,0.004556451,0.21070368215441704,0.038330078125,0.15,0.00024825920000000004,0.6615658402442932,68,0.023968271911144257,732.1162790697674,14.854546534883724
1030,19,38912,37,-5.512015327811241,-0.0030552826065104455,0.0052795643,0.2707129023037851,0.1121826171875,0.15,0.00024815680000000003,0.6288411617279053,72,0.06875737011432648,735.5555555555555,14.888248333333333
1031,20,40960,39,-5.517395168542862,-0.003910975996404886,0.0040627057,0.18392851436510682,0.0240478515625,0.15,0.0002480544,0.7380808591842651,76,0.0006709098815917969,739.6521739130435,14.971225369565218
1031,21,43008,41,-5.525234907865524,-0.0013953279849374667,0.0026443151,0.2669638111256063,0.0,0.15,0.000247952,0.6990503072738647,80,0.02899351716041565,743.8333333333334,15.140781645833334
1032,22,45056,43,-5.5324860364198685,-0.0007694890518905595,0.00075485,0.24591324292123318,0.0,0.15,0.0002478496,0.5187778472900391,84,0.04946305975317955,748.62,15.3847819
1033,23,47104,45,-5.517532080411911,-0.003166655485983938,0.0031948779,0.1540380259975791,0.0479736328125,0.15,0.0002477472,0.7050139904022217,88,-0.002087108790874481,747.925925925926,15.314456259259261
1035,24,49152,47,-5.521739587187767,-0.0023117239179555327,0.0031512128,0.2248480194248259,0.0233154296875,0.15,0.0002476448,0.6647646427154541,92,0.03508980572223663,751.9107142857143,15.53348967857143
1036,25,51200,49,-5.513778060674667,-0.00461018702480942,0.003911959,0.1758236293680966,0.03662109375,0.15,0.0002475424,0.6918414831161499,96,0.012088067829608917,756.5833333333334,15.6551442
1037,26,53248,51,-5.505446970462799,-0.0032505880808457732,0.0017470254,0.21870578778907657,0.0341796875,0.15,0.00024744,0.7318568229675293,100,0.04566824436187744,762.7258064516129,15.818842032258065
1038,27,55296,53,-5.505695924162865,-0.0022839482262497768,0.003551595,0.1797940982505679,0.033203125,0.15,0.0002473376,0.7084816694259644,104,0.03730978071689606,765.15625,15.965503984374998
1037,28,57344,55,-5.506240904331207,-0.0024368127924390137,0.002577452,0.2075358317233622,0.0216064453125,0.15,0.0002472352,0.7072911262512207,108,0.019081037491559982,765.530303030303,16.042445863636363
